PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - NOVEMBRO - 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,TOTAL
CV - Casa Verde,14.6,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,32.4,19.7,0.1,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.2,8.5,84.89999999999999
FO - Freguesia do Ó,15.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.1,0.0,0.0,0.0,0.0,0.0,36.6,20.8,0.1,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.2,7.7,90.2
JT - Jaçanã / Tremembé,22.1,0.7999999999999999,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.1,0.0,0.0,0.0,0.0,0.0,21.6,16.4,0.4,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,1.0,14.1,87
MG - Vl. Maria / Guilherme,16.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,28.8,20.0,0.6,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.4,9.899999999999999,81.4
