PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,TOTAL
CV - Casa Verde,1.8,13.799999999999999,0.0,3.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,28.4,28.5,3.1,0.0,0.0,16.9,0.1,5.0,18.6,0.30000000000000004,3.2,4.5,0.0,0.2,0.0,6.1,0.0,133.9
FO - Freguesia do Ó,1.8,16.3,0.0,3.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1,32.6,30.0,5.1,0.0,0.0,7.6000000000000005,0.1,8.2,21.8,0.2,6.2,3.9,0.0,0.1,0.0,1.7,0.1,139.79999999999998
JT - Jaçanã / Tremembé,3.3,13.0,0.0,1.4000000000000001,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,28.0,26.5,1.7,0.0,0.0,12.299999999999999,0.1,2.6,12.8,0.5,6.300000000000001,5.6000000000000005,0.1,2.0,0.0,15.7,0.0,132.09999999999997
MG - Vl. Maria / Guilherme,5.1,6.7,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,18.9,0.7,0.0,0.0,37.3,0.3,3.0,19.0,0.3,4.6,26.7,0.0,0.5,0.0,24.3,0.2,196.70000000000002
