PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,TOTAL
CV - Casa Verde,43.6,20.9,19.3,2.2,2.4000000000000004,25.4,0.7,0.7,8.4,122.8,7.8,0.8999999999999999,0.0,0.1,0.0,1.8,0.2,24.3,4.8999999999999995,6.1,3.7,0.30000000000000004,0.1,27.799999999999997,9.7,21.1,8.0,5.8,2.9,371.9000000000001
FO - Freguesia do Ó,38.6,17.2,26.900000000000002,2.2,1.8,16.2,0.4,0.4,9.4,123.49999999999999,7.9,0.8999999999999999,0.0,0.3,0.0,0.9,0.0,24.900000000000002,3.0,8.9,3.1,0.2,0.0,23.799999999999997,14.9,21.6,8.1,5.1,2.6999999999999997,362.9000000000001
JT - Jaçanã / Tremembé,44.1,13.7,19.6,7.699999999999999,12.8,43.400000000000006,3.2,3.3000000000000003,11.5,93.49999999999999,6.1,2.1,0.0,0.1,0.0,0.1,1.2,17.599999999999998,0.30000000000000004,11.3,3.1,0.1,0.6,8.9,10.9,20.6,11.9,4.9,3.3,355.90000000000015
MG - Vl. Maria / Guilherme,53.6,27.9,14.7,2.2,6.6,39.2,1.7,1.7,8.3,115.5,6.300000000000001,0.9999999999999999,0.0,0.0,0.0,10.3,20.7,10.9,3.0999999999999996,4.0,5.3,0.1,0.3,12.5,13.0,24.6,7.2,4.8999999999999995,2.3,397.90000000000003
PJ - Pirituba / Jaraguá,35.1,15.5,35.9,2.2,1.7000000000000002,13.4,0.3,0.3,9.4,114.89999999999999,7.5,0.7,0.0,0.2,0.0,0.8,0.0,15.600000000000001,4.8,13.5,4.1000000000000005,0.1,0.0,18.599999999999998,21.6,21.7,6.8999999999999995,3.1,2.4,350.3
PR - Perus,31.7,20.5,44.5,3.9,1.5,6.0,0.2,0.2,10.9,110.89999999999999,5.9,0.7,0.1,0.1,0.0,0.0,0.0,3.0,11.700000000000001,25.900000000000002,3.5999999999999996,0.0,0.0,21.2,26.799999999999997,24.900000000000002,6.5,3.0,2.4,366.09999999999997
ST - Santana,43.1,24.200000000000003,15.8,2.7,6.4,39.5,0.6,0.6,8.4,119.69999999999999,7.5,1.2,0.0,0.1,0.0,2.9,4.1,21.099999999999998,1.9,5.4,4.6,0.1,0.2,19.3,10.1,21.700000000000003,8.0,6.0,2.9000000000000004,378.1
PRECIPITAÇÃO MÉDIA - ZN,41.4,19.985714285714284,25.242857142857144,3.3,4.742857142857143,26.157142857142855,1.0142857142857145,1.0285714285714287,9.471428571428572,114.39999999999999,6.999999999999999,1.0714285714285714,0.014285714285714287,0.12857142857142856,0.0,2.4,3.7428571428571424,16.771428571428572,4.242857142857142,10.72857142857143,3.9285714285714284,0.12857142857142856,0.17142857142857143,18.87142857142857,15.285714285714283,22.314285714285713,8.085714285714285,4.685714285714285,2.6999999999999997,369.0142857142858
AF - Aricanduva / Vl. Formosa,37.3,20.2,16.1,1.3,2.0,6.3,4.2,4.2,7.6,77.5,5.8,0.30000000000000004,0.0,0.1,0.0,15.1,27.0,4.6,14.1,15.399999999999999,4.1000000000000005,1.1,0.1,12.3,13.700000000000001,27.5,7.1,3.3000000000000003,2.2,330.50000000000006
EM - Ermelino Matarazzo,71.0,17.3,12.7,2.0,6.2,27.5,2.9,3.0,10.3,109.5,5.800000000000001,2.0,0.0,0.0,0.0,8.2,17.6,7.2,2.9,8.900000000000002,4.3,0.0,0.4,6.8,14.399999999999999,29.900000000000002,9.4,3.9,1.7,385.79999999999984
GU - Guaianazes,38.0,12.8,10.000000000000002,1.7000000000000002,12.3,0.5,2.6,2.6,8.5,96.8,6.3999999999999995,1.9,0.0,0.2,0.0,5.4,13.4,18.8,5.0,5.6,5.6,1.0,0.6,5.800000000000001,7.5,27.900000000000002,6.3999999999999995,3.7,0.7,301.69999999999993
IQ - Itaquera,33.8,12.600000000000001,11.399999999999999,1.4000000000000001,2.5,3.9,1.4,1.4,6.6,85.4,5.9,0.8999999999999999,0.0,0.2,0.0,7.6,13.2,5.5,5.6,7.7,2.5999999999999996,1.0,0.4,5.1,8.2,29.0,6.2,3.1,1.2,263.79999999999995
IT - Itaim Paulista,45.8,14.1,9.100000000000001,1.6,24.099999999999998,1.9,4.1,4.1,12.600000000000001,116.0,6.9,2.8000000000000003,0.0,0.1,0.0,3.0,23.4,24.6,4.199999999999999,7.3,5.3999999999999995,0.4,0.9,6.5,8.7,25.5,7.8999999999999995,4.2,0.5,365.6999999999999
MO - Móoca,42.5,25.4,20.700000000000003,1.5,6.000000000000001,11.2,2.9,2.8,10.1,102.0,6.0,0.6000000000000001,0.0,0.1,0.0,18.2,18.1,9.6,8.9,9.899999999999999,4.2,0.5,0.2,20.4,16.0,21.400000000000002,5.6000000000000005,3.1,1.9000000000000001,369.79999999999995
