PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SIURB - Secretaria de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - OUTUBRO - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,0.0,0.9,0.0,0.0,0.0,0.0,0.0,3.5,36.400000000000006,0.0,0.0,0.0,0.0,0.0,2.7,0.1,0.0,0.0,22.7,46.4,0.1,0.0,0.0,15.3,4.0,0.0,0.0,0.0,6.0,26.5,1.2000000000000002,165.8
FO - Freguesia do Ó,0.0,1.8,0.0,0.0,0.0,0.0,0.0,3.8,35.9,0.0,0.0,0.0,0.0,0.0,2.9000000000000004,0.0,0.0,0.0,14.0,42.6,0.1,0.0,0.0,7.2,4.1,0.0,0.0,0.0,5.800000000000001,25.4,1.1,144.7
JT - Jaçanã / Tremembé,0.0,1.5,1.1,0.0,0.0,0.0,0.0,3.4,37.1,0.0,0.0,0.0,0.0,0.0,6.3999999999999995,0.1,0.0,0.0,30.599999999999998,43.2,0.1,0.0,0.0,8.0,2.9,0.0,0.0,0.0,5.4,26.0,1.5999999999999999,167.4
MG - Vl. Maria / Guilherme,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.7,43.1,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,0.4,0.0,0.0,37.1,12.0,0.0,0.0,0.0,10.1,13.299999999999999,0.0,0.0,0.0,2.7,21.5,1.4000000000000001,148.4
PJ - Pirituba / Jaraguá,0.0,2.5,0.0,0.0,0.0,0.0,0.1,4.0,35.2,0.1,0.0,0.0,0.0,0.0,3.9,0.1,0.0,0.0,17.7,32.9,0.0,0.0,0.0,3.9,8.3,0.0,0.0,0.0,4.4,24.8,1.0,138.9
PR - Perus,0.0,2.4,0.0,0.0,0.0,0.0,0.0,4.8,35.8,0.1,0.0,0.0,0.0,0.0,5.7,0.2,0.0,0.0,16.8,11.8,0.0,0.0,0.0,2.9,7.300000000000001,0.0,0.0,0.0,2.9,20.9,0.6,112.20000000000002
ST - Santana,0.0,0.8,0.0,0.0,0.0,0.0,0.0,3.2,39.99999999999999,0.0,0.0,0.0,0.0,0.0,3.1,0.1,0.0,0.0,33.300000000000004,40.2,0.0,0.0,0.0,17.0,4.6,0.0,0.0,0.0,4.9,25.4,1.5,174.1
PRECIPITAÇÃO MÉDIA - ZN,0.0,1.4571428571428573,0.15714285714285717,0.0,0.0,0.0,0.014285714285714287,3.7714285714285714,37.642857142857146,0.028571428571428574,0.0,0.0,0.0,0.0,3.9285714285714284,0.14285714285714288,0.0,0.0,24.6,32.728571428571435,0.042857142857142864,0.0,0.0,9.200000000000001,6.357142857142856,0.0,0.0,0.0,4.585714285714286,24.357142857142858,1.2,150.21428571428572
AF - Aricanduva / Vl. Formosa,0.0,0.1,0.0,0.0,0.0,0.0,0.2,4.5,33.2,0.0,0.0,0.0,0.0,0.0,4.7,0.8,0.0,0.0,13.5,0.1,0.0,0.0,0.0,8.1,26.2,0.0,0.0,0.0,3.0,25.6,0.7,120.7
EM - Ermelino Matarazzo,0.0,0.1,0.2,0.0,0.0,0.0,0.0,8.1,38.5,0.1,0.0,0.0,0.0,0.0,3.3,0.3,0.0,0.0,29.7,11.0,0.1,0.0,0.0,4.3,8.9,0.0,0.0,0.0,4.300000000000001,26.3,2.1,137.29999999999998
GU - Guaianazes,0.0,0.1,0.0,0.0,0.0,0.0,0.0,5.0,34.7,0.2,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.0,8.0,12.9,0.1,0.0,0.0,0.4,6.800000000000001,0.0,0.0,0.0,3.1,22.3,1.4000000000000004,98.10000000000001
IQ - Itaquera,0.0,0.1,0.0,0.0,0.0,0.0,0.1,4.5,30.8,0.1,0.0,0.0,0.0,0.0,3.0,0.7,0.0,0.0,9.4,2.3,0.0,0.0,0.0,0.7,9.3,0.0,0.0,0.0,2.5999999999999996,20.3,1.9000000000000001,85.80000000000001
IT - Itaim Paulista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8999999999999995,40.5,0.1,0.0,0.0,0.0,0.0,3.1,0.4,0.0,0.0,14.8,28.0,0.0,0.0,0.0,1.1,6.5,0.0,0.0,0.0,5.5,27.3,1.0,134.2
MO - Móoca,0.0,0.2,0.0,0.0,0.0,0.0,0.3,3.6999999999999997,34.4,0.0,0.0,0.0,0.0,0.0,3.8999999999999995,0.7,0.0,0.0,22.5,8.5,0.0,0.0,0.0,12.8,38.6,0.0,0.0,0.0,4.1,26.200000000000003,0.6,156.49999999999997
MP - São Miguel Paulista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3999999999999995,38.7,0.1,0.0,0.0,0.0,0.0,3.2,0.3,0.0,0.0,24.0,21.9,0.1,0.0,0.0,1.7000000000000002,5.5,0.0,0.0,0.0,5.199999999999999,27.0,0.9999999999999999,134.1
PE - Penha,0.0,0.1,0.1,0.0,0.0,0.0,0.0,7.0,38.1,0.1,0.0,0.0,0.0,0.0,3.0999999999999996,0.4,0.0,0.0,24.3,3.6,0.0,0.0,0.0,10.7,13.8,0.0,0.0,0.0,3.5999999999999996,25.700000000000003,2.1,132.7
SM - São Mateus,0.0,0.2,0.0,0.0,0.0,0.0,1.4,5.5,24.8,0.2,0.0,0.0,0.0,0.0,5.399999999999999,1.3,0.1,0.0,1.8,6.0,0.1,0.0,0.0,0.2,10.100000000000001,0.0,0.0,0.0,1.8,19.6,1.5,80
CT - Cidade Tiradentes,0.0,0.1,0.0,0.0,0.0,0.0,0.3,5.0,28.0,0.2,0.0,0.0,0.0,0.0,3.5,0.9,0.0,0.0,1.2,3.7,0.1,0.0,0.0,0.0,6.8,0.0,0.0,0.0,1.4000000000000001,19.6,1.6,72.4
VP - Vila Prudente,0.0,0.4,0.0,0.0,0.0,0.0,0.2,5.3,28.200000000000003,0.0,0.0,0.0,0.0,0.0,6.8999999999999995,1.2000000000000002,0.0,0.0,12.9,0.6,0.0,0.0,0.0,4.699999999999999,34.2,0.0,0.0,0.0,3.4000000000000004,24.3,0.7999999999999999,123.10000000000001
SB - Sapopemba,0.0,0.7,0.0,0.0,0.0,0.0,1.4,5.4,26.099999999999998,0.0,0.0,0.0,0.0,0.0,6.200000000000001,1.5,0.0,0.0,7.3,4.3,0.0,0.0,0.0,1.7,20.5,0.0,0.0,0.0,2.8,26.4,0.8999999999999999,105.19999999999999
PRECIPITAÇÃO MÉDIA - ZL,0.0,0.17500000000000004,0.025000000000000005,0.0,0.0,0.0,0.325,5.441666666666666,33.00000000000001,0.09166666666666666,0.0,0.0,0.0,0.0,4.066666666666666,0.7583333333333334,0.008333333333333333,0.0,14.116666666666669,8.574999999999998,0.041666666666666664,0.0,0.0,3.866666666666667,15.600000000000003,0.0,0.0,0.0,3.399999999999999,24.216666666666665,1.3,115.00833333333334
Consolação (CGE),0.0,0.2,0.0,0.0,0.0,0.0,1.5,5.8,29.3,0.0,0.0,0.0,0.0,0.0,8.5,0.5,0.0,0.0,9.5,24.5,0.0,0.0,0.0,3.3,52.3,0.0,0.0,0.0,5.8,32.2,0.8,174.2
SE - Sé,0.0,0.5,0.0,0.0,0.0,0.0,0.7,4.0,35.900000000000006,0.1,0.0,0.0,0.0,0.0,5.699999999999999,0.8,0.0,0.0,17.5,26.1,0.1,0.0,0.0,9.0,44.5,0.0,0.0,0.0,5.9,30.8,1.1,182.70000000000002
PRECIPITAÇÃO MÉDIA - ZC,0.0,0.35,0.0,0.0,0.0,0.0,1.1,4.9,32.6,0.05,0.0,0.0,0.0,0.0,7.1,0.65,0.0,0.0,13.5,25.3,0.05,0.0,0.0,6.15,48.4,0.0,0.0,0.0,5.85,31.5,0.9500000000000001,178.45
BT - Butantã,0.0,0.7,0.6,0.0,0.0,0.0,0.4,6.2,33.5,0.1,0.0,0.0,0.0,0.0,10.1,0.8999999999999999,0.0,0.0,7.5,15.7,0.0,0.5,0.0,1.2,25.700000000000003,0.0,0.0,0.0,6.4,30.800000000000004,2.3000000000000003,142.60000000000002
LA - Lapa,0.0,0.7,0.3,0.0,0.0,0.0,0.9,4.6000000000000005,37.5,0.1,0.0,0.0,0.0,0.0,5.1,0.4,0.0,0.0,12.0,34.3,0.0,0.0,0.0,3.1,15.899999999999999,0.0,0.0,0.0,5.8,31.399999999999995,1.2000000000000002,153.29999999999998
PI - Pinheiros,0.0,0.7,0.4,0.0,0.0,0.0,0.4,5.5,35.0,0.1,0.0,0.0,0.0,0.0,9.0,0.8,0.0,0.0,6.6000000000000005,33.3,0.0,0.2,0.0,2.1,33.0,0.0,0.0,0.0,6.8999999999999995,29.4,1.4,164.8
PRECIPITAÇÃO MÉDIA - ZO,0.0,0.6999999999999998,0.4333333333333333,0.0,0.0,0.0,0.5666666666666668,5.433333333333334,35.333333333333336,0.10000000000000002,0.0,0.0,0.0,0.0,8.066666666666666,0.6999999999999998,0.0,0.0,8.700000000000001,27.766666666666666,0.0,0.2333333333333333,0.0,2.1333333333333333,24.866666666666664,0.0,0.0,0.0,6.366666666666666,30.53333333333333,1.6333333333333335,153.56666666666666
MB - M Boi Mirim,0.0,2.5,0.6,0.2,0.0,0.0,0.2,7.5,22.9,0.1,0.0,0.0,0.0,0.0,7.199999999999999,1.7,0.4,0.0,5.9,3.0,0.4,0.6,0.0,0.1,2.3,0.2,0.0,0.0,7.5,33.6,4.3,101.2
CL - Campo Limpo,0.0,2.9,0.4,0.1,0.0,0.0,0.0,7.0,24.599999999999998,0.0,0.0,0.0,0.0,0.0,9.2,1.3,0.1,0.0,11.1,6.3,0.4,0.8999999999999999,0.0,0.1,9.7,0.2,0.0,0.0,7.2,33.5,5.6,120.6
CS - Capela do Socorro,0.0,1.3,1.3,0.4,0.0,0.0,0.2,8.700000000000001,20.2,0.1,0.0,0.0,0.0,0.0,6.7,2.5,0.7999999999999999,0.0,8.9,2.2,1.3,0.7,0.0,0.2,2.1,0.6,0.0,0.0,5.4,31.900000000000002,4.3,99.80000000000001
IP - Ipiranga,0.0,0.4,0.4,0.0,0.0,0.0,0.2,6.1,24.7,0.0,0.0,0.0,0.0,0.0,7.3,1.1,0.0,0.0,8.899999999999999,17.4,0.0,0.3,0.0,6.9,37.2,0.0,0.0,0.0,4.9,23.8,1.3,140.90000000000003
JA - Jabaquara,0.0,0.0,0.8,0.1,0.0,0.0,0.1,7.9,21.8,0.0,0.0,0.0,0.0,0.0,5.999999999999999,1.3,0.2,0.0,17.8,22.1,0.2,1.4000000000000001,0.0,0.4,20.400000000000002,0.0,0.0,0.0,5.6,31.6,2.4,140.10000000000002
SA - Santo Amaro,0.0,0.4,0.9,0.0,0.0,0.0,0.1,7.300000000000001,22.2,0.0,0.0,0.0,0.0,0.0,5.6,1.2000000000000002,0.2,0.0,13.799999999999999,8.3,0.1,0.8,0.0,0.2,10.1,0.0,0.0,0.0,5.5,29.5,3.5,109.7
VM - Vila Mariana,0.0,1.3,0.4,0.0,0.0,0.0,0.3,5.8999999999999995,28.6,0.0,0.0,0.0,0.0,0.0,8.399999999999999,1.0,0.0,0.0,7.3,28.9,0.0,0.3,0.0,5.0,41.4,0.0,0.0,0.0,5.2,30.200000000000003,1.2000000000000002,165.39999999999998
PA - Parelheiros ,0.0,0.6,4.800000000000001,4.300000000000001,0.0,0.0,0.0,9.899999999999999,19.700000000000003,0.1,0.0,0.0,0.0,0.0,4.5,6.5,2.2,0.0,1.7999999999999998,0.4,7.3999999999999995,1.4,0.0,0.0,1.1,1.3,0.0,0.0,5.9,47.1,9.700000000000001,128.7
AD - Cidade Ademar,0.0,0.3,1.4,0.2,0.0,0.0,0.4,8.700000000000001,21.3,0.0,0.0,0.0,0.0,0.0,6.1,1.3,0.5,0.0,20.5,12.2,0.1,1.1,0.0,0.9,9.999999999999998,0.1,0.0,0.0,5.800000000000001,31.5,4.199999999999999,126.59999999999998
PRECIPITAÇÃO MÉDIA - ZS,0.0,1.077777777777778,1.2222222222222223,0.588888888888889,0.0,0.0,0.16666666666666666,7.666666666666667,22.88888888888889,0.03333333333333334,0.0,0.0,0.0,0.0,6.777777777777778,1.9888888888888892,0.48888888888888893,0.0,10.666666666666664,11.2,1.1,0.8333333333333334,0.0,1.5333333333333337,14.92222222222222,0.26666666666666666,0.0,0.0,5.888888888888889,32.522222222222226,4.055555555555555,125.88888888888889
PRECIPITAÇÃO MÉDIA TOTAL,0.0,0.7515151515151514,0.41515151515151516,0.16060606060606064,0.0,0.0,0.2848484848484848,5.660606060606061,31.415151515151518,0.06060606060606062,0.0,0.0,0.0,0.0,5.324242424242424,0.9515151515151515,0.13636363636363635,0.0,14.869696969696971,17.172727272727276,0.32727272727272716,0.24848484848484848,0.0,4.342424242424243,16.284848484848485,0.07272727272727272,0.0,0.0,4.748484848484849,27.527272727272724,2.039393939393939,132.79393939393938
