PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,19.200000000000003,10.7,7.1,20.599999999999998,0.0,47.6,0.2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,24.8,0.2,0.0,0.0,0.0,174
FO - Freguesia do Ó,38.8,5.3,6.6,4.8,0.0,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,19.2,0.0,0.2,0.0,0.0,114.1
JT - Jaçanã / Tremembé,49.0,1.9,2.5,7.3,0.0,43.7,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.0,2.1,0.0,0.0,123.10000000000001
MG - Vl. Maria / Guilherme,16.8,1.7999999999999998,1.6,6.8,0.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,1.4,0.0,1.0,91.80000000000001
PJ - Pirituba / Jaraguá,28.0,4.6,13.0,5.6,0.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.4,0.0,0.2,0.0,0.0,111.00000000000001
PR - Perus,37.4,9.0,9.6,18.4,0.0,28.2,10.9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,33.2,0.0,18.4,0.0,0.0,174.00000000000003
ST - Santana,31.299999999999997,8.200000000000001,4.4,4.800000000000001,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6,0.1,2.4,0.0,0.0,142.3
COMDEC - Carandirú,21.9,1.5,4.0,10.3,0.0,25.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,36.8,0.0,29.2,0.0,2.0,132.5
PRECIPITAÇÃO MÉDIA - ZN,30.3,5.375,6.1,9.825,0.0,32.7,1.3875,0.0,0.0,2.475,0.0,0.0,0.175,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,7.1875,0.0,29.324999999999996,0.1625,6.737499999999999,0.0,0.375,132.85000000000002
AF - Aricanduva / Vl. Formosa,21.900000000000002,1.6,2.4,10.899999999999999,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,12.2,71.6,0.2,3.4,7.3,11.6,173.9
EM - Ermelino Matarazzo,5.8,5.9,0.0,16.0,0.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.700000000000001,1.4,54.1,0.5,37.1,187.4
GU - Guaianazes,58.4,1.4,0.0,28.7,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.1,0.4,28.0,0.0,2.1,203.79999999999998
IQ - Itaquera,55.7,2.2,0.0,29.2,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,51.3,1.0,48.0,0.0,10.3,249.8
IT - Itaim Paulista,57.0,3.3,0.2,6.699999999999999,0.0,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,40.2,3.7,11.9,3.1,12.8,208.7
MO - Móoca,21.9,5.4,4.0,18.799999999999997,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,45.0,0.0,5.1,1.2,8.8,132.9
MP - São Miguel Paulista,44.6,0.0,0.0,5.0,0.0,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.400000000000002,2.7,22.8,0.0,15.9,173.3
PE - Penha,15.5,5.3999999999999995,3.6,23.2,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,35.9,0.2,27.7,1.0,30.0,180.3
SM - São Mateus,94.80000000000001,3.7,0.4,1.6,0.0,21.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,27.6,39.800000000000004,2.0,3.5,0.2,0.0,230.4
