PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SIURB - Secretaria de Infra-Estrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - DEZEMBRO - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,2.0,0.0,0.0,0.0,0.0,0.6,0.5,12.0,18.9,2.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.5,0.0,0.0,0.0,10.0,0.0,0.8,7.6,7.6000000000000005,0.0,0.0,0.0,0.0,12.9,102.89999999999999
FO - Freguesia do Ó,1.6,9.0,0.0,0.0,0.0,0.5,0.0,43.0,26.0,3.5,0.0,0.0,0.0,0.0,39.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.4,0.0,0.0,0.0,0.0,4.6,141.6
JT - Jaçanã / Tremembé,1.5,4.5,0.0,0.0,0.0,0.0,0.0,56.8,21.4,2.1,0.0,0.0,0.0,1.8,18.9,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,5.3,0.0,6.25,0.0,0.0,0.0,6.4,9.5,138.24999999999997
MG - Vl. Maria / Guilherme,0.0,5.6,0.0,0.0,0.0,0.8,0.0,55.0,28.400000000000002,0.8,0.0,0.0,0.0,0.2,16.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,7.0,0.8,0.0,0.0,0.0,0.0,0.0,3.6,119.2
PJ - Pirituba / Jaraguá,3.5,0.0,0.0,0.0,0.0,0.5,0.8,50.2,13.7,1.1,0.0,0.0,0.0,1.0,24.6,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,8.700000000000001,0.0,0.3,0.0,0.0,0.0,0.0,44.2,150.8
PR - Perus,4.0,2.2,0.0,0.0,0.0,0.0,0.0,18.2,19.4,2.3,0.0,0.0,0.1,0.8999999999999999,14.3,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.0,2.9,0.0,1.2000000000000002,0.0,0.0,0.0,9.6,19.4,96.79999999999998
ST - Santana,0.5,0.8,0.0,0.0,0.0,0.0,0.0,47.6,27.9,3.1,0.0,0.0,2.1,1.4,31.0,0.0,0.0,6.6,0.0,0.0,0.0,3.5,0.0,8.4,1.5,3.5,0.0,0.0,0.0,0.0,26.7,164.59999999999997
COMDEC - Carandirú,1.1,6.1,0.0,0.0,0.0,0.8,0.0,28.2,21.1,2.1,0.0,0.0,0.0,2.5,25.5,0.0,0.0,5.8,0.0,0.0,0.0,10.0,0.0,0.6,1.7,4.8999999999999995,0.0,0.0,0.0,0.0,41.8,152.2
PRECIPITAÇÃO MÉDIA - ZN,1.9999999999999998,3.5250000000000004,0.0,0.0,0.0,0.4,0.1625,38.875,22.1,2.125,0.0,0.0,0.275,0.975,24.675,0.0,0.0,2.9375,0.0,0.0,0.0,3.7,0.0,4.4625,1.45,3.51875,0.0,0.0,0.0,2.0,20.337500000000002,133.29375
AF - Aricanduva / Vl. Formosa,11.5,2.3,0.0,0.0,0.0,0.2,6.6,41.0,33.1,2.3,0.0,0.0,8.0,7.4,33.6,0.0,0.0,9.9,0.0,0.0,0.0,5.7,11.5,2.9,0.0,10.0,0.0,0.0,0.0,0.0,31.3,217.3
EM - Ermelino Matarazo,0.3,3.0,0.0,0.0,0.0,0.5,0.0,15.5,8.5,1.5,0.0,0.0,0.0,3.5,8.0,1.2,0.0,0.0,0.0,0.0,0.0,1.5,2.5,1.4,4.0,8.8,0.0,0.0,0.0,0.0,17.5,77.7
GU - Guaianazes,5.6,0.0,0.0,0.0,0.0,0.5,0.0,13.0,35.6,0.7,0.0,0.0,7.0,2.7,50.2,0.0,0.0,0.0,0.0,0.0,0.0,1.3,45.5,0.3,1.6,7.2,0.0,0.0,0.0,0.0,15.6,186.8
IQ - Itaquera,1.8,3.0,0.0,0.0,0.0,0.0,0.0,7.1,8.7,1.2,0.0,0.0,0.0,2.3,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12.3,3.0,0.0,8.8,0.0,0.0,0.0,0.0,23.1,102.79999999999998
IT - Itaim Paulista,2.6,2.8,0.0,0.0,0.0,0.0,1.2,39.0,32.2,1.3,0.0,0.0,0.0,0.5,49.8,0.8,0.0,0.0,0.0,0.0,0.0,16.4,19.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,13.7,184.8
MO - Móoca,12.0,1.2,0.0,0.0,0.0,0.4,6.6,6.4,38.6,2.3,0.0,0.0,0.0,0.0,32.3,0.0,0.0,10.0,0.0,0.0,0.0,9.7,1.0,0.0,0.8,9.899999999999999,0.0,0.0,0.0,0.0,30.0,161.2
MP - São Miguel Paulista,17.7,2.0,0.0,0.0,0.0,0.4,1.5,19.5,28.799999999999997,1.3,0.0,0.0,0.0,5.0,52.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.1,3.2,0.9,8.6,0.0,0.0,0.0,0.0,14.0,177.79999999999998
PE - Penha,0.0,2.0,0.0,0.0,0.0,0.5,0.0,34.3,15.9,1.5,0.0,0.0,0.0,0.3,40.1,0.5,0.0,0.0,0.0,0.0,0.0,2.6,2.5,4.1,0.0,10.2,0.0,0.0,0.0,0.0,19.2,133.7
SM - São Mateus,4.5,0.0,0.0,0.0,0.0,0.0,7.5,17.0,33.1,2.0,0.0,0.0,7.5,11.8,50.7,0.0,0.0,6.0,0.0,0.0,0.0,5.8,87.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,21.0,265.3
CT - Cidade Tiradentes,4.3,1.3,0.0,0.0,0.0,0.0,0.0,14.0,28.7,15.5,0.0,0.0,0.0,2.0,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,2.9,6.9,0.0,0.0,0.0,0.0,19.2,150.8
VP - Vila Prudente,6.8,0.0,0.0,0.0,0.0,0.0,0.0,12.2,42.0,4.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.2,3.4,3.3,7.3999999999999995,0.0,0.0,0.0,0.0,57.4,213.70000000000002
PRECIPITAÇÃO MÉDIA - ZL,6.1,1.6,0.0,0.0,0.0,0.22727272727272727,2.127272727272727,19.90909090909091,27.745454545454546,3.0545454545454547,0.0,0.0,2.0454545454545454,3.3181818181818183,39.690909090909095,0.22727272727272727,0.0,2.3545454545454545,0.0,0.0,0.0,6.045454545454546,20.409090909090907,1.6636363636363638,1.2272727272727273,8.609090909090911,0.0,0.0,0.0,0.0,23.818181818181813,170.1727272727273
Consolação (CGE),15.0,1.2,0.0,0.0,0.0,0.6,3.5999999999999996,11.6,27.400000000000002,3.8000000000000003,0.0,0.0,0.6,0.0,39.2,0.0,0.0,4.0,0.0,0.0,0.0,17.0,0.0,2.2,1.8,7.4,0.0,0.0,0.0,0.0,44.4,179.8
SE - Sé,14.3,1.3,0.0,0.0,0.0,0.3,7.5,10.0,31.7,1.9,0.0,0.0,1.6,0.0,34.699999999999996,0.0,0.0,6.1,0.0,0.0,0.0,7.9,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,41.3,167.5
PRECIPITAÇÃO MÉDIA - ZC,14.65,1.25,0.0,0.0,0.0,0.44999999999999996,5.55,10.8,29.55,2.85,0.0,0.0,1.1,0.0,36.95,0.0,0.0,5.05,0.0,0.0,0.0,12.45,0.0,1.1,0.9,8.15,0.0,0.0,0.0,0.0,42.849999999999994,173.65
BT - Butantã,14.4,0.7,0.0,0.0,0.0,0.0,4.4,30.5,27.2,6.500000000000001,0.0,0.0,0.0,17.7,15.9,0.5,0.0,5.7,0.0,0.0,0.0,0.0,0.3,17.0,0.0,9.7,0.0,0.0,0.0,0.0,38.0,188.5
LA - Lapa,7.0,3.0,0.0,0.0,0.0,2.6,5.4,24.4,30.6,3.0,0.0,0.0,2.0,4.2,17.7,0.0,0.0,2.4,0.0,0.0,0.0,6.0,0.0,8.0,2.8,5.2,0.0,0.0,0.0,0.0,54.4,178.70000000000002
PI - Pinheiros,7.5,0.8,0.0,0.0,0.0,1.0,1.0,12.3,11.3,0.5,0.0,0.0,0.0,4.8,21.5,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.4,0.0,0.0,0.0,0.0,44.5,118.4
PRECIPITAÇÃO MÉDIA - ZO,9.633333333333333,1.5,0.0,0.0,0.0,1.2,3.6,22.400000000000002,23.03333333333333,3.3333333333333335,0.0,0.0,0.6666666666666666,8.9,18.366666666666667,0.16666666666666666,0.0,4.3,0.0,0.0,0.0,2.0,0.09999999999999999,9.333333333333334,1.5999999999999999,6.099999999999999,0.0,0.0,0.0,0.0,45.63333333333333,161.86666666666667
MB - M Boi Mirim,2.0,0.9,0.0,0.0,0.0,0.0,4.6,0.3,11.399999999999999,0.5,0.0,0.0,0.0,2.6,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,7.5,0.2,2.5,0.0,0.0,0.0,0.0,30.1,150.3
CL - Campo Limpo,16.0,0.0,0.0,0.0,0.0,2.6,1.0,16.6,17.4,4.0,0.0,0.0,0.0,2.8,63.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,5.2,12.0,1.2,8.599999999999998,0.0,0.0,0.0,0.0,40.2,193.39999999999998
CS - Capela do Socorro,1.1,0.7,0.0,0.0,0.0,0.0,8.7,5.0,15.6,3.0,0.0,0.0,0.0,5.5,40.2,0.0,0.0,5.9,0.0,0.0,0.0,1.0,28.1,9.2,1.2,7.3,5.0,1.8,0.5,0.0,5.1,144.90000000000003
IP - Ipiranga,8.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,42.0,1.3,0.0,0.0,0.0,0.0,69.7,0.0,0.0,15.0,0.0,0.0,0.0,32.0,3.3,0.0,0.0,11.4,0.0,0.0,0.0,0.0,61.8,263.5
JA - Jabaquara,20.8,1.6,0.0,0.0,0.0,0.0,0.0,25.0,17.0,3.1,0.0,0.0,0.0,55.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,51.0,9.4,18.0,1.0,10.6,0.0,0.0,0.0,0.0,53.5,313.90000000000003
SA - Santo Amaro,8.9,0.1,0.0,0.0,0.0,0.0,1.2,5.3,14.3,1.7,0.0,0.0,0.0,27.0,32.3,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.6,0.0,5.6,0.0,0.0,0.0,0.0,20.25,139.25
VM - Vila Mariana,10.2,1.0,0.0,0.0,0.0,0.0,0.0,20.4,34.8,9.799999999999999,0.0,0.0,0.0,0.0,55.5,0.0,0.0,2.0,0.0,0.0,0.0,15.0,16.2,14.2,0.0,11.7,0.0,0.0,0.0,0.0,69.1,259.9
PA - Parelheiros ,9.0,3.5,0.0,0.0,0.0,0.0,0.2,13.9,28.0,8.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,11.0,25.8,3.0,11.0,1.0,1.0,0.0,0.0,14.0,155.6
PRECIPITAÇÃO MÉDIA - ZS,9.5,0.9750000000000001,0.0,0.0,0.0,0.325,1.9624999999999997,13.1875,22.5625,3.925,0.0,0.0,0.0,11.6125,50.637499999999996,1.025,0.0,3.2125,0.0,0.0,0.0,12.525,11.149999999999999,12.6625,0.825,8.5875,0.75,0.35,0.0625,0.0,36.756249999999994,202.59375
PRECIPITAÇÃO MÉDIA TOTAL,6.734375000000001,1.89375,0.0,0.0,0.0,0.4000000000000001,1.9468750000000001,22.634375000000006,24.709375,3.0531249999999988,0.0,0.0,0.9031250000000001,5.121875000000001,36.50312499999999,0.35,0.0,3.065625,0.0,0.0,0.0,7.1000000000000005,9.812499999999998,5.796875000000001,1.196875,7.067187500000001,0.1875,0.0875,0.015625,0.5,29.4171875,168.49687500000002
