PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,5.0,5.5,20.0,0.2,14.433333333333332,10.4,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,47.2,20.5,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,15.8,165.63333333333335
FO - Freguesia do Ó,29.7,31.8,22.4,2.5,9.8,2.0,0.0,0.0,0.0,8.8,1.8,0.0,0.0,0.0,0.0,0.0,25.3,16.4,0.0,0.0,0.0,0.0,0.0,5.1,37.1,0.0,0.0,11.0,203.7
JT - Jaçanã / Tremembé,24.700000000000003,12.7,38.6,11.8,6.0,1.3,0.0,0.0,0.0,3.1,4.8,0.0,0.0,0.0,0.0,1.6,18.6,13.9,0.0,0.0,0.0,0.3,5.8,8.8,31.3,0.3,0.0,10.8,194.40000000000006
MG - Vl. Maria / Guilherme,0.0,18.5,75.4,42.0,0.0,10.0,0.0,0.0,0.0,0.0,21.700000000000003,54.0,0.0,0.0,0.0,0.0,25.4,8.5,0.0,0.0,0.0,2.5,0.0,0.0,26.5,0.0,0.0,8.7,293.2
PJ - Pirituba / Jaraguá,6.5,12.7,17.7,0.0,8.5,0.5,0.0,0.0,0.0,3.5,4.2,0.0,0.0,0.0,0.0,0.0,38.0,16.599999999999998,0.0,0.0,0.0,7.3,0.0,4.5,28.7,0.0,0.0,13.0,161.7
PR - Perus,24.9,8.0,27.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,1.6,0.0,66.6,8.2,0.0,0.0,0.0,1.7,0.0,14.5,34.4,0.0,0.0,4.1,210.39999999999998
