PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - OUTUBRO - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,0.0,15.3,6.5,15.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,5.1,19.5,0.0,11.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,74.39999999999999
FO - Freguesia do Ó,0.0,19.2,10.8,20.3,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,29.6,0.0,13.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,113.3
JT - Jaçanã / Tremembé,0.9,13.9,4.2,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.700000000000001,25.999999999999996,0.0,21.7,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,0.0,0.0,0.0,98.7
MG - Vl. Maria / Guilherme,0.3,15.8,7.8,30.6,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.3,31.599999999999998,0.0,13.0,3.8,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,124.69999999999999
PJ - Pirituba / Jaraguá,0.5,16.9,7.4,18.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,31.9,0.0,5.6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.79999999999998
