PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - DEZEMBRO - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,0.4,0.0,0.0,3.5,0.0,0.0,0.0,0.0,1.1,4.1,1.4,21.5,4.3,3.0,0.0,0.0,0.0,0.0,2.8,0.8,0.0,67.0,9.6,0.1,35.0,0.0,0.0,0.0,7.5,0.0,0.0,162.09999999999997
FO - Freguesia do Ó,1.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,1.5,6.5,2.5,21.0,7.800000000000001,1.5,0.0,0.0,0.0,0.0,12.2,0.8,0.0,60.8,35.4,0.0,25.0,0.0,0.0,0.0,12.0,0.0,0.0,192.7
JT - Jaçanã / Tremembé,2.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,9.3,1.3,26.799999999999997,2.6,5.6,0.0,0.0,0.0,0.0,4.300000000000001,0.5,0.0,40.0,32.0,1.3,12.2,0.0,0.0,0.0,18.2,0.0,0.0,160.5
MG - Vl. Maria / Guilherme,0.0,0.0,0.0,2.2,2.4,0.0,0.0,0.0,1.0,7.6,3.0,22.200000000000003,2.6,9.6,0.0,0.0,0.0,0.0,4.0,0.8,0.0,51.2,35.2,1.2,32.2,0.0,0.0,0.0,0.6,0.0,0.0,175.79999999999998
PJ - Pirituba / Jaraguá,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,5.2,2.2,4.0,33.3,4.8,0.5,0.0,0.0,0.0,0.0,6.5,1.0,0.0,105.1,16.5,1.3,42.0,0.0,0.0,0.0,5.9,0.0,0.0,233.1
