PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - NOVEMBRO - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,TOTAL
CV - Casa Verde,1.2,2.7,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,17.9,0.0,12.4,35.0,1.5999999999999999,9.4,0.0,2.1,14.3,7.3999999999999995,5.1,137.49999999999997
FO - Freguesia do Ó,1.1,2.7,1.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.399999999999999,0.1,0.0,8.4,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.6,31.1,1.8,9.2,0.0,2.1,17.4,5.699999999999999,6.8,124.19999999999999
JT - Jaçanã / Tremembé,0.6,2.8000000000000003,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,7.800000000000001,0.0,0.0,0.0,0.0,0.0,29.900000000000002,0.0,24.3,25.400000000000002,0.7,7.8,0.0,4.5,17.8,7.5,8.2,184.1
MG - Vl. Maria / Guilherme,1.0,1.2000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,21.4,0.0,7.2,24.799999999999997,0.7,8.4,0.0,0.8,15.2,16.8,10.7,169
