PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,0.0,10.4,4.8,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.1,0.0,0.0,7.7,0.0,3.0999999999999996,0.4,0.8,0.0,1.0,6.6,0.0,0.0,0.5,0.0,0.0,75.5,31.1,144.5
FO - Freguesia do Ó,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,7.0,48.6,1.0,12.0,0.0,24.0,36.0,0.0,0.0,10.0,0.0,0.0,26.5,49.5,243.5
JT - Jaçanã / Tremembé,0.0,22.7,4.2,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.3999999999999995,28.5,0.0,0.0,0.0,22.3,55.0,0.0,0.0,6.7,0.0,0.0,33.2,130.79999999999998,314.0999999999999
MG - Vl. Maria / Guilherme,0.0,6.7,2.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,7.799999999999999,42.0,24.6,0.0,1.4,14.8,2.8,0.0,0.0,4.8,0.0,0.0,38.4,105.2,252
PJ - Pirituba / Jaraguá,0.0,17.6,5.8,1.4,7.6,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,19.0,0.0,23.0,0.0,0.0,0.0,21.0,0.9,2.2,0.0,0.0,0.0,0.0,68.6,12.0,181.39999999999998
PR - Perus,0.0,10.8,5.3,9.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,6.1,0.8,0.4,5.8,4.1,0.0,4.2,13.0,0.0,19.7,17.4,64.3,193.2
