PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - OUTUBRO- 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL,
CV - Casa Verde,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,9.8,4.8,2.5,0.0,0.0,0.0,5.5,0.0,0.0,3.0,1.4,0.0,15.5,0.0,0.0,0.0,2.5,2.3,3.0,0.0,3.8,59.599999999999994,
FO - Freguesia do Ó,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,8.4,6.2,0.1,0.0,0.0,0.0,8.4,0.0,0.0,1.5,0.3,0.0,15.0,0.0,0.0,0.0,0.0,16.5,3.0,0.0,2.2,63.10000000000001,
JT - Jaçanã / Tremembé,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,7.300000000000001,5.699999999999999,0.0,0.0,0.0,0.0,10.4,0.0,0.0,3.0,0.8,0.3,17.1,0.3,0.0,0.0,1.0,27.299999999999997,1.6,0.0,3.5,101.89999999999998,
MG - Vl. Maria / Guilherme,0.0,0.0,0.0,0.0,16.4,0.1,0.0,0.0,0.0,0.0,7.0,5.6,0.8,0.0,0.0,0.0,8.2,0.0,0.0,3.8,1.0,0.2,16.6,0.0,0.0,0.0,0.0,28.1,5.9,0.0,2.8,96.50000000000001,
PJ - Pirituba / Jaraguá,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,12.6,11.9,0.0,0.0,0.0,0.0,19.299999999999997,0.0,0.0,1.5,2.3,0.0,13.5,0.0,0.0,0.0,7.2,19.5,2.5,0.0,7.0,103.5, 
