PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,TOTAL
CV - Casa Verde,0.0,5.6,0.0,0.0,13.6,13.6,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,0.0,1.8,19.2,3.6,20.4,14.6,0.0,0.4,14.799999999999999,0.0,0.4,0.2,20.0,4.8,219.20000000000002
FO - Freguesia do Ó,0.0,24.0,0.0,0.0,4.9,38.6,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,2.5,19.0,2.8,36.5,22.5,0.5,0.0,13.5,0.0,15.5,0.0,30.0,2.2,246.89999999999998
JT - Jaçanã / Tremembé,0.0,0.5,0.0,0.0,3.8,37.599999999999994,0.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,22.5,0.5,4.2,0.4,0.0,21.200000000000003,18.4,14.2,0.2,22.3,0.0,5.1,0.2,19.0,4.7,179.29999999999998
MG - Vl. Maria / Guilherme,0.0,0.2,0.0,0.0,2.8,9.6,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.2,3.6,0.0,0.4,42.400000000000006,26.4,7.0,4.0,9.4,0.0,13.0,0.0,18.8,6.2,185.00000000000003
PJ - Pirituba / Jaraguá,0.0,21.0,0.0,0.0,20.4,50.0,0.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,1.0,14.8,22.0,28.6,15.4,0.0,0.0,18.3,0.0,39.0,0.2,15.3,3.9,283.5
PR - Perus,0.0,0.0,0.0,0.0,10.0,70.7,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,9.4,0.3,0.8,0.0,0.1,0.6000000000000001,28.7,1.8,0.1,8.8,0.0,27.2,0.8,27.4,0.8,188.20000000000002
