PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - NOVEMBRO - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,TOTAL
CV - Casa Verde,0.8,0.0,12.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,32.8,0.0,0.0,5.6,21.800000000000004,0.2,0.0,0.0,8.9,1.7,3.2,0.0,15.5,19.1,8.0,0.8,131.00000000000003
FO - Freguesia do Ó,1.0,0.0,12.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,34.3,0.0,0.0,5.9,24.1,0.30000000000000004,0.0,0.0,8.8,1.7000000000000002,3.1,0.0,19.1,18.700000000000003,8.3,2.6,140.99999999999997
JT - Jaçanã / Tremembé,2.1,0.0,13.4,0.4,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.8,0.1,28.400000000000002,0.2,0.0,0.6,24.7,1.5999999999999999,0.0,0.0,8.4,3.2,4.0,0.0,31.9,26.5,6.200000000000001,1.2,158.2
MG - Vl. Maria / Guilherme,1.7,0.0,11.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,39.1,0.1,0.0,3.5,26.0,0.1,0.0,0.0,8.999999999999998,2.2,4.2,0.0,13.100000000000001,30.7,11.0,0.0,152.6
