PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - OUTUBRO - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,1.0,0.0,0.4,0.0,0.0,0.0,1.2,3.6,10.6,1.2000000000000002,0.6,0.0,5.2,0.0,15.4,0.2,1.0,24.599999999999998,1.0,0.0,0.0,0.0,0.0,14.2,3.8000000000000003,0.0,3.8,0.8,0.0,0.0,7.800000000000001,96.39999999999999
FO - Freguesia do Ó,10.5,0.0,0.8,0.0,0.0,0.0,0.0,2.5,11.8,5.6,1.0,0.0,5.2,0.0,14.600000000000001,0.8,1.0,12.8,0.8,0.0,0.0,0.0,0.0,16.5,5.7,0.5,1.7999999999999998,0.2,0.0,0.0,10.0,102.10000000000001
JT - Jaçanã / Tremembé,7.8,0.0,0.8,0.0,0.0,0.0,0.8,3.0,15.3,1.3,0.5,0.0,7.5,0.0,11.100000000000001,0.4,2.5,10.5,0.3,0.0,0.0,0.0,0.0,16.7,5.1,2.4,2.0,0.5,0.0,0.0,6.93,95.43
MG - Vl. Maria / Guilherme,1.2,0.0,0.2,0.0,0.0,0.0,1.6,2.6,10.8,2.6,0.4,0.0,4.2,0.0,10.2,0.6,0.0,4.2,0.2,0.0,0.0,0.0,0.0,14.5,4.0,0.2,4.4,0.2,0.0,0.0,4.8,66.9
PJ - Pirituba / Jaraguá,15.4,0.0,1.2,0.0,0.0,0.0,0.2,3.0,8.8,4.2,0.6000000000000001,0.0,3.8,0.0,10.200000000000001,0.6,0.6,15.600000000000001,0.8,0.0,0.0,0.0,0.0,11.2,5.6,0.2,2.4000000000000004,0.0,0.0,0.0,7.2,91.60000000000002
PR - Perus,24.0,0.0,8.2,0.0,0.0,0.2,0.2,3.6,13.8,4.6,2.4000000000000004,0.0,1.0,0.0,13.6,5.0,5.0,22.200000000000003,0.4,0.0,0.0,0.0,0.0,12.0,3.6000000000000005,0.4,7.6,0.0,0.0,0.0,6.4,134.20000000000002
ST - Santana,18.7,0.0,0.6,0.0,0.0,0.0,0.79,1.7,12.6,1.3,0.0,0.0,5.6,0.0,11.899999999999999,0.0,0.8,12.0,0.4,0.0,0.0,0.0,0.0,17.900000000000002,4.96,0.2,2.7199999999999998,0.2,0.0,0.0,7.06,99.43
COMDEC - Carandirú,11.6,0.0,0.5,0.0,0.0,0.0,1.6,3.4,9.2,0.6,0.8,0.0,4.4,0.0,14.8,0.2,0.8,9.4,0.2,0.0,0.0,0.0,0.0,18.0,4.8,0.2,5.6,1.0,0.0,0.0,7.2,94.3
PRECIPITAÇÃO MÉDIA - ZN,11.274999999999999,0.0,1.5875,0.0,0.0,0.025,0.7987500000000001,2.925,11.612499999999999,2.6750000000000003,0.7875,0.0,4.6125,0.0,12.725,0.975,1.4625000000000001,13.912500000000001,0.5125000000000001,0.0,0.0,0.0,0.0,15.125,4.695,0.5125000000000001,3.79,0.3625,0.0,0.0,7.173750000000001,97.54500000000002
AF - Aricanduva / Vl. Formosa,10.6,0.0,0.4,0.0,0.0,0.0,2.0,2.1999999999999997,10.4,1.0,0.6000000000000001,0.0,7.0,0.0,22.0,0.6,59.4,5.199999999999999,0.2,0.0,0.0,0.0,0.0,15.000000000000002,4.6,0.6,4.3999999999999995,0.8,0.0,0.0,3.0,150.00000000000003
EM - Ermelino Matarazzo,6.0,0.0,0.5,0.0,0.0,0.0,2.7,3.65,12.05,0.7,0.0,0.0,6.8,0.0,11.8,0.0,2.5,3.45,0.8,0.0,0.0,0.0,0.0,10.8,4.05,0.0,3.6999999999999997,1.6,0.0,0.0,2.45,73.55
GU - Guaianazes,1.4,0.0,0.2,0.0,0.0,0.0,2.4000000000000004,2.6000000000000005,10.2,0.6000000000000001,0.2,0.0,11.0,0.0,19.2,1.2,16.6,9.2,0.4,0.2,0.0,0.0,0.0,7.6,6.6,3.6,6.0,1.0,0.0,0.0,4.0,104.19999999999999
IQ - Itaquera,5.2,0.0,0.2,0.0,0.0,0.0,3.0,2.8000000000000003,11.7,0.8,0.2,0.0,8.0,0.0,14.3,1.3,14.8,7.0,1.2,0.0,0.0,0.0,0.0,9.5,7.9,4.5,7.2,0.8,0.0,0.0,5.8,106.2
IT - Itaim Paulista,0.8,0.0,0.0,0.0,0.0,0.0,2.6999999999999997,2.8,10.8,0.4,2.0,0.0,8.5,0.0,10.3,0.8,0.3,4.8,0.5,0.0,0.0,0.0,0.0,9.8,3.5,11.5,5.5,0.3,0.0,0.0,0.8,76.09999999999998
MO - Móoca,11.4,0.0,0.2,0.0,0.0,0.0,1.7999999999999998,3.5999999999999996,6.0,0.4,1.8,0.0,4.8,0.0,18.6,2.4,0.0,7.0,0.2,0.2,0.0,0.0,0.2,17.4,4.0,0.4,5.0,0.6000000000000001,0.0,0.0,4.8,90.8
