PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,2.2,0.0,0.0,0.0,0.2,4.6,1.4,3.2,0.0,0.0,0.0,47.400000000000006,0.0,0.0,60.00000000000001
FO - Freguesia do Ó,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,4.0,0.0,17.0,0.0,0.0,0.0,76.8,0.0,0.0,104.9
JT - Jaçanã / Tremembé,0.0,0.0,0.0,0.0,0.0,2.4,0.0,1.8,0.0,12.8,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.0,0.8,0.4,7.8,0.2,0.0,0.0,39.2,0.0,0.0,66.2
MG - Vl. Maria / Guilherme,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,3.8,0.2,5.4,0.0,0.0,0.0,42.8,0.0,0.0,59
PJ - Pirituba / Jaraguá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.6,1.6,1.8,8.8,0.0,0.0,0.0,37.4,0.0,0.0,52.6
PR - Perus,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.6000000000000001,0.0,9.8,0.2,13.6,0.0,0.0,0.0,29.8,0.0,0.0,57
ST - Santana,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,2.9,0.0,2.8,0.0,0.0,0.0,57.25,0.0,0.0,72.81
COMDEC - Carandirú,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,7.4,0.3,2.8,0.0,0.0,0.0,70.5,0.0,0.0,90
PRECIPITAÇÃO MÉDIA - ZN,0.0,0.0,0.0,0.0,0.0,0.4575,0.0,0.225,0.0,5.6875,0.0,0.0,0.025,0.0,0.7875,0.05,0.0,0.2375,0.1,4.3625,0.5375,7.675,0.025,0.0,0.0,50.14375,0.0,0.0,70.31375
AF - Aricanduva / Vl. Formosa,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,15.8,0.0,0.0,0.0,0.0,1.2,0.2,0.0,0.4,0.0,1.2,0.0,7.8,0.0,0.0,0.0,47.8,0.0,0.0,74.8
EM - Ermelino Matarazzo,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,9.6,0.0,0.0,0.1,0.0,1.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,58.800000000000004,0.0,0.0,71.4
GU - Guaianazes,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,29.5,0.0,0.0,0.2,0.0,1.4,0.2,0.0,0.0,0.0,0.2,0.2,5.0,0.2,0.0,0.0,23.0,0.0,0.0,61.10000000000001
IQ - Itaquera,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2,0.0,0.0,1.2,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.0,4.2,0.0,0.0,0.0,34.0,0.0,0.0,45
IT - Itaim Paulista,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.3,3.3,0.3,0.0,0.0,0.2,0.2,0.0,3.5,0.0,0.0,0.0,29.6,0.0,0.0,41.1
MO - Móoca,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.4,0.0,3.8,0.2,8.8,0.2,0.0,0.0,54.199999999999996,0.0,0.0,81.19999999999999
MP - São Miguel Paulista,0.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,5.2,0.0,0.0,0.2,0.2,1.8,0.0,0.0,0.0,0.2,0.0,0.0,5.2,0.0,0.0,0.0,65.2,0.0,0.0,79.2
PE - Penha,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,1.0,0.0,3.8,0.0,0.0,0.0,52.5,0.0,0.0,73.3
SM - São Mateus,0.2,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,27.6,0.4,0.0,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,23.799999999999997,0.0,0.0,56
