PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,10.1,4.5,0.5,3.1,1.1,3.1,6.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.1,2.2,0.0,2.5,1.6,12.1,0.2,0.0,0.0,0.0,0.2,0.0,52.20000000000001
FO - Freguesia do Ó,13.200000000000001,6.2,0.2,4.0,1.9,2.3000000000000003,5.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,3.9,2.4,0.0,3.5,1.4,7.7,0.4,0.0,0.0,0.0,0.6,0.0,53.2
JT - Jaçanã / Tremembé,5.5,6.7,4.3,2.5,1.8,1.7000000000000002,7.899999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,7.1000000000000005,4.6,0.0,7.300000000000001,1.0,21.5,0.3,0.0,0.0,0.0,0.0,0.0,72.5
MG - Vl. Maria / Guilherme,15.7,0.9,3.1,0.9,0.5,3.8,11.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4.3999999999999995,4.3,0.0,0.7,7.9,3.9,8.6,0.0,0.0,0.0,0.0,0.0,66
