PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - OUTUBRO - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,0.0,0.0,9.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,10.4,2.0,0.0,9.8,1.6,0.0,0.0,1.4,9.0,7.6,1.0,0.0,0.0,0.0,6.0,81.89999999999999
FO - Freguesia do Ó,0.0,0.0,11.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.2,0.0,0.0,0.0,0.0,0.0,11.0,1.7,0.0,0.0,1.5,13.7,16.8,3.7,0.0,0.0,0.0,4.0,87.10000000000001
JT - Jaçanã / Tremembé,0.0,0.0,9.8,2.1,0.3,1.2,0.0,0.0,0.0,0.0,2.8,0.0,26.0,0.0,3.0,0.0,18.7,0.0,0.0,1.7999999999999998,0.2,0.0,0.0,0.5,12.9,35.0,2.8,0.0,0.0,0.0,7.9,125.00000000000001
MG - Vl. Maria / Guilherme,0.0,0.0,11.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.6000000000000001,0.0,0.0,19.4,3.6,0.0,1.4,0.2,0.0,0.0,0.4,8.4,10.0,1.4,0.0,0.0,0.0,7.8,92.30000000000003
PJ - Pirituba / Jaraguá,0.0,0.0,14.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.2,0.0,0.0,0.0,0.0,0.0,58.4,10.2,0.0,0.0,2.0,8.2,6.0,4.0,0.0,0.0,0.0,0.0,119.9
PR - Perus,0.0,0.0,12.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.300000000000004,0.9,0.0,0.0,0.0,0.0,0.0,41.6,2.8,0.0,0.0,3.0,11.5,10.6,3.5,0.0,0.0,0.0,0.0,109.6
ST - Santana,0.0,0.0,11.9,0.3,0.0,0.46,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,0.0,12.4,1.2,0.0,2.6,0.6,0.0,0.0,0.8,14.7,20.6,1.5,0.0,0.0,0.0,4.9,108.96000000000001
COMDEC - Carandirú,0.0,0.0,13.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.2,0.0,0.0,6.2,20.8,0.0,3.0,0.5,0.0,0.0,1.0,9.700000000000001,18.5,4.3,0.0,0.0,0.0,0.2,102.4
PRECIPITAÇÃO MÉDIA - ZN,0.0,0.0,11.687500000000002,0.7500000000000001,0.0375,0.23249999999999998,0.0,0.0,0.0,0.0,1.1,0.0,24.087500000000002,0.2625,0.375,0.0,8.3875,3.45,0.0,16.2,2.225,0.0,0.0,1.3250000000000002,11.012500000000001,15.6375,2.775,0.0,0.0,0.0,3.85,103.39500000000001
AF - Aricanduva / Vl. Formosa,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,18.7,0.0,0.0,0.0,2.0,2.4,0.0,1.6,0.3,0.0,0.0,0.0,9.6,10.4,4.2,0.0,0.0,0.0,6.8,75.6
EM - Ermelino Matarazzo,0.0,0.0,10.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8.9,0.0,29.2,1.8,21.200000000000003,0.2,6.5,1.0,0.0,2.5,0.3,0.0,0.0,0.0,5.9,4.3,6.9,0.0,0.0,0.0,6.3,105.7
GU - Guaianazes,0.0,0.0,17.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.6,0.0,32.5,4.4,11.2,22.0,2.6,0.0,1.4,2.6,0.2,0.0,0.0,0.0,12.5,5.2,5.1000000000000005,0.0,0.0,0.0,0.0,120.99999999999999
IQ - Itaquera,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.4,3.2,21.5,13.0,10.0,0.0,0.2,5.2,1.0,0.0,0.0,0.0,6.0,5.5,2.7,0.0,0.0,0.0,0.0,131.39999999999998
IT - Itaim Paulista,0.0,0.0,14.0,0.4,0.6,3.2,0.8,0.0,0.0,0.0,16.9,0.0,32.9,16.2,17.2,3.8,0.6000000000000001,2.5,0.0,4.1,0.4,0.0,0.0,0.0,14.2,6.8,11.2,0.0,0.0,0.0,5.8,151.6
MO - Móoca,0.0,0.0,12.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,21.2,0.4,0.6,0.2,15.6,14.2,0.0,7.1,0.7,0.0,0.0,1.0,11.500000000000002,15.2,6.8999999999999995,0.0,0.0,0.0,7.0,119
