PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,6.0,0.0,0.0,0.0,3.9,83.6,11.5,9.3,0.0,0.0,0.0,0.0,11.0,8.1,0.0,4.8,7.3,0.0,0.0,3.7,149.6
FO - Freguesia do Ó,0.0,0.2,0.0,0.0,0.0,0.0,0.0,9.2,3.8,0.0,1.0,0.0,10.8,55.3,4.2,12.3,0.8,1.8,0.0,0.0,4.4,32.5,0.0,4.2,9.5,0.0,0.0,18.6,168.6
JT - Jaçanã / Tremembé,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.8,12.9,0.0,1.0,0.0,0.2,43.199999999999996,37.699999999999996,7.0,0.0,0.0,0.0,0.0,1.0,5.6,0.0,0.7,11.2,1.5,2.4,17.0,151.2
MG - Vl. Maria / Guilherme,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,2.2,0.0,2.0,0.0,0.0,13.0,37.4,10.2,1.4,0.0,0.0,0.0,0.0,0.4,0.0,0.6,2.8,0.2,0.0,20.8,91.8
PJ - Pirituba / Jaraguá,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,83.0,14.5,22.7,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.800000000000001,8.0,0.5,0.0,7.0,178.4
PR - Perus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.0,1.6,0.0,0.0,0.3,9.1,5.6,7.6000000000000005,6.4,0.2,0.0,0.0,0.0,4.5,0.0,10.3,6.2,0.0,0.0,4.5,59.900000000000006
ST - Santana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.3,13.4,0.0,1.3,0.0,3.7,35.8,34.5,13.5,1.3,0.0,0.0,0.0,5.1,12.8,0.0,1.8,4.0,0.0,0.8,11.9,144.20000000000002
