PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - SETEMBRO - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,TOTAL
CV - Casa Verde,0.0,0.0,0.0,2.4000000000000004,0.0,1.8,5.6,79.19999999999999,0.2,15.4,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.1,7.4,15.5,0.0,1.2,192.79999999999998
FO - Freguesia do Ó,0.0,0.0,0.0,5.2,0.0,0.8,8.2,62.099999999999994,0.0,24.0,48.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,8.8,13.2,0.0,1.8,198.2
JT - Jaçanã / Tremembé,0.0,0.0,0.0,4.1,0.0,0.0,11.799999999999999,57.300000000000004,0.1,15.299999999999999,33.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,6.7,2.2,9.1,0.0,9.6,166.79999999999995
MG - Vl. Maria / Guilherme,0.0,0.0,0.0,2.6,0.0,0.8,14.2,68.80000000000001,0.0,13.4,29.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,7.199999999999999,9.0,13.0,0.0,4.4,184.2
PJ - Pirituba / Jaraguá,0.0,0.0,0.0,4.2,0.0,2.8,10.4,55.099999999999994,0.0,21.3,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,6.4,0.0,9.8,0.0,2.0,183.3
PR - Perus,0.0,0.0,0.0,3.5,0.0,0.2,14.8,46.4,0.3,19.0,32.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.600000000000001,14.500000000000002,0.6,10.0,0.0,2.6,153.2
