PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SIURB - Secretaria Municipal  de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - MARÇO - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,0.8,3.4000000000000004,0.2,2.4,7.2,7.0,0.0,0.6,0.0,1.8,0.0,32.2,8.0,24.4,3.6,0.0,0.0,0.0,0.0,46.900000000000006,9.8,0.4,0.0,0.0,0.0,0.0,18.799999999999997,29.2,2.0,29.4,3.0,231.1
FO - Freguesia do Ó,0.8,6.2,0.0,7.0,13.5,2.5,0.0,0.0,0.0,0.0,0.0,8.2,9.6,23.5,4.3,0.0,0.0,0.0,18.8,51.8,8.9,2.0,0.0,0.0,0.0,0.0,9.2,13.0,8.0,2.8,3.8,193.9
JT - Jaçanã / Tremembé,0.0,5.0,0.2,3.4,16.0,0.8,0.0,0.4,0.0,6.0,0.0,22.2,4.4,37.8,2.2,0.0,0.0,0.0,6.0,26.1,14.7,0.4,0.0,0.0,0.0,2.8,6.800000000000001,21.0,0.5,0.6,17.8,195.10000000000002
MG - Vl. Maria / Guilherme,0.6,7.2,0.0,4.0,11.2,1.0,0.0,0.2,0.0,1.8,0.0,18.6,3.6,24.2,2.6,0.0,0.0,0.0,3.6,21.0,3.8000000000000003,0.8,0.0,0.0,0.0,4.4,23.4,6.8,1.4,4.0,7.0,151.20000000000002
