PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - JANEIRO - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,0.0,0.0,1.0,0.6,7.4,0.0,39.0,10.0,0.0,9.8,0.0,0.3,10.0,10.8,1.0,0.6,0.0,0.4,0.2,0.0,0.0,7.0,5.6,5.0,0.0,6.4,2.0,1.0,0.0,0.2,0.0,118.3
FO - Freguesia do Ó,0.0,1.5,8.1,2.8,1.8,0.0,44.8,12.0,0.0,17.8,0.0,0.0,12.0,1.0,3.1,0.8,0.0,17.5,1.3,0.0,0.0,15.3,35.5,1.1,0.0,21.6,0.9,1.3,0.0,0.2,0.3,200.7
JT - Jaçanã / Tremembé,0.0,13.9,4.8,0.0,17.4,0.0,29.6,0.0,0.0,9.6,0.0,0.0,4.5,0.3,2.8,1.7,0.0,1.7,1.8,0.0,7.2,8.3,18.4,6.7,0.0,5.5,0.3,0.3,0.3,0.4,0.2,135.7
MG - Vl. Maria / Guilherme,0.0,0.0,1.0,0.0,11.0,0.0,29.4,1.6,0.0,0.0,0.0,4.4,0.0,0.6000000000000001,0.2,0.0,0.0,1.0,0.0,0.0,14.8,10.8,4.800000000000001,6.0,2.6,0.2,13.2,0.8,0.0,0.2,0.0,102.6
PJ - Pirituba / Jaraguá,0.0,2.3,6.2,0.0,9.0,0.0,22.5,5.0,0.0,52.0,2.5,0.0,1.0,1.2,15.0,2.2,0.0,0.2,46.0,0.0,2.0,11.0,25.4,0.0,0.0,41.6,0.2,2.6,0.0,0.0,0.0,247.9
PR - Perus,0.0,0.1,36.4,2.5,0.0,0.0,5.0,1.9,0.0,0.0,0.0,0.0,0.1,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,3.7,0.1,75.0,0.5,0.0,0.6,1.0,0.4,135.1
