PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,7.699999999999999,2.1,4.199999999999999,9.6,8.8,10.8,47.7,0.3,6.3,0.3,14.4,22.6,17.099999999999998,0.0,13.200000000000001,38.2,0.30000000000000004,43.4,21.7,18.6,26.5,5.5,6.5,0.1,0.5,0.0,1.2,15.299999999999999,342.9000000000001
FO - Freguesia do Ó,10.4,5.5,4.3,9.9,7.8,12.4,45.5,0.2,5.3,0.4,10.4,28.900000000000002,16.6,0.0,11.0,37.3,0.6000000000000001,26.400000000000002,21.0,13.0,23.7,4.7,3.3,0.2,0.6,0.0,1.2,16.8,317.4
JT - Jaçanã / Tremembé,21.0,1.2999999999999998,3.6,6.7,3.5,9.3,40.00000000000001,0.4,9.8,1.9,9.9,26.1,38.0,0.1,13.4,46.0,0.30000000000000004,18.799999999999997,25.300000000000004,4.2,38.9,5.1,19.3,0.0,0.5,0.0,2.1,19.8,365.30000000000007
MG - Vl. Maria / Guilherme,20.1,0.1,4.0,12.4,9.6,6.699999999999999,39.2,0.1,4.6,0.0,18.0,23.6,13.799999999999999,0.0,11.899999999999999,36.800000000000004,0.1,32.7,23.7,30.6,21.9,1.9000000000000001,11.1,0.1,0.9,0.0,0.9,16.2,341
