PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - DEZEMBRO - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VP - Vila Prudente,35.5,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,16.0,0.0,2.2,1.2,2.8,2.5,1.2,0.0,0.0,1.5,10.5,0.9,0.0,0.0,0.0,11.5,0.0,0.0,0.0,89.80000000000003,,
PRECIPITAÇÃO MÉDIA - ZL,27.736363636363638,1.5090909090909093,0.2,0.0,0.3727272727272727,0.0,0.0,0.21818181818181823,0.0,0.0,0.0,2.545454545454545,11.718181818181819,0.0,1.2909090909090908,5.663636363636364,4.718181818181818,13.981818181818182,2.109090909090909,0.0,0.1,0.8272727272727274,12.827272727272726,3.5818181818181816,0.08181818181818183,0.0,0.0,6.836363636363635,0.16363636363636364,0.0,0.0,96.48181818181818,,
Consolação (CGE),35.9,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,3.0,0.0,7.4,11.100000000000001,0.0,0.0,0.0,14.6,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,99,,
SE - Sé,34.1,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,18.0,0.0,0.0,0.4,0.0,10.0,18.4,0.0,0.0,0.0,11.6,1.5999999999999999,0.0,0.0,0.0,6.0,0.0,0.0,0.0,101.29999999999998,,
PRECIPITAÇÃO MÉDIA - ZC,35.0,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,16.9,0.0,0.0,1.7,0.0,8.7,14.75,0.0,0.0,0.0,13.1,1.2999999999999998,0.0,0.0,0.0,7.5,0.0,0.0,0.0,100.14999999999999,,
BT - Butantã,40.8,0.5,0.7,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,1.4,0.0,2.3,2.8,0.0,2.2,4.3,23.7,12.0,0.0,0.0,0.0,1.0,7.4,0.0,0.0,119.10000000000001,,
LA - Lapa,38.599999999999994,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,7.4,0.0,8.8,3.0,0.0,0.0,0.0,38.8,4.2,0.2,0.0,0.0,5.8,0.0,0.0,0.0,111.19999999999999,,
PI - Pinheiros,42.8,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,15.5,0.0,0.0,1.2,0.0,3.9000000000000004,3.6999999999999997,0.0,0.0,2.5,20.5,0.8,0.2,0.0,0.0,15.5,4.0,0.0,0.0,111.30000000000001,,
PRECIPITAÇÃO MÉDIA - ZO,40.73333333333333,0.5333333333333333,0.3666666666666667,0.0,0.5333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,12.433333333333332,0.0,0.0,3.3333333333333335,0.0,5.000000000000001,3.1666666666666665,0.0,0.7333333333333334,2.2666666666666666,27.666666666666668,5.666666666666667,0.13333333333333333,0.0,0.0,7.433333333333334,3.8000000000000003,0.0,0.0,113.86666666666667,,
MB - M Boi Mirim,18.799999999999997,0.4,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0,0.0,8.6,2.0,0.0,4.6,2.8,34.199999999999996,7.2,0.4,0.0,0.0,0.6,0.0,0.0,0.0,114.8,,
CL - Campo Limpo,2.6000000000000005,0.4,1.2,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,27.2,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.2,1.4,35.0,5.499999999999999,0.4,0.0,0.0,0.6,1.2,0.0,0.0,83.50000000000001,,
CS - Capela do Socorro,14.299999999999999,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.43,0.0,0.0,0.0,0.0,4.12,2.2,0.0,10.3,4.5,26.0,5.499999999999999,0.0,0.0,0.0,3.5,0.0,0.0,0.0,97.55,,
