PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - ABRIL - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,TOTAL
CV - Casa Verde,0.2,0.0,0.0,0.0,0.0,55.2,31.4,0.0,0.0,18.6,0.0,5.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,2.6,2.0,0.0,0.0,12.399999999999999,0.2,0.2,0.0,0.0,147.29999999999998
FO - Freguesia do Ó,0.0,0.5,0.0,0.0,0.0,87.9,50.199999999999996,0.0,0.0,14.8,0.0,4.8,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,22.5,3.1,0.0,0.0,0.0,10.999999999999998,0.3,0.8,0.0,0.0,198.3
JT - Jaçanã / Tremembé,0.8,0.3,0.0,0.0,0.0,17.8,24.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,19.1,4.5,0.4,0.0,0.0,8.2,0.6000000000000001,0.0,0.0,0.0,78.60000000000001
MG - Vl. Maria / Guilherme,0.0,0.0,0.0,0.0,0.0,37.0,35.099999999999994,0.0,0.0,0.2,0.0,0.6000000000000001,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,15.3,2.0,0.4,0.0,0.0,12.8,0.2,0.0,0.0,0.0,104.2
PJ - Pirituba / Jaraguá,0.6,0.4,0.0,0.0,0.0,79.0,33.0,0.0,0.0,1.1,0.0,0.2,0.4,0.0,0.0,0.0,0.2,0.5,0.0,0.0,20.4,1.6,0.3,0.0,0.0,15.4,0.8,0.2,0.1,0.0,154.20000000000002
PR - Perus,0.0,0.0,0.0,0.0,0.0,41.0,26.900000000000002,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,21.4,3.0,0.8,0.0,0.0,12.0,0.6,0.0,0.0,0.0,107.3
ST - Santana,0.0,0.6,0.0,0.0,0.0,34.4,39.6,0.0,0.0,4.6,0.0,1.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,14.8,1.0,0.2,0.0,0.0,8.0,0.7,0.0,0.0,0.0,105.8
COMDEC - Carandirú,0.2,0.6,0.0,0.0,0.0,42.0,34.5,0.2,0.0,5.6000000000000005,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,15.0,1.0,1.5,0.0,0.0,10.9,0.0,0.0,0.0,0.0,114.4
PRECIPITAÇÃO MÉDIA - ZN,0.225,0.30000000000000004,0.0,0.0,0.0,49.2875,34.3625,0.025,0.0,5.787500000000001,0.0,2.0124999999999997,0.1,0.0,0.0,0.0,0.5000000000000001,0.2125,0.0,0.0,18.475,2.3499999999999996,0.7,0.0,0.0,11.3375,0.42500000000000004,0.15,0.0125,0.0,126.2625
AF - Aricanduva / Vl. Formosa,0.0,0.0,0.0,0.0,0.0,52.6,27.8,0.0,0.0,0.0,0.0,1.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.799999999999999,1.8,0.0,0.0,0.0,8.799999999999999,0.4,0.0,0.0,0.0,110.2
EM - Ermelino Matarazzo,0.0,0.7,0.0,0.0,0.0,15.4,0.0,3.4,0.0,0.0,0.0,1.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,21.1,0.0,1.1,0.0,0.0,4.9,0.5,0.0,0.0,0.0,48.400000000000006
GU - Guaianazes,0.0,0.4,0.0,0.0,0.0,6.7,4.800000000000001,0.2,0.0,0.0,0.0,3.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,5.699999999999999,0.0,0.0,0.0,7.800000000000001,0.0,0.0,0.0,0.0,53
IQ - Itaquera,0.0,0.0,0.0,0.0,0.0,18.6,16.7,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,4.9,0.2,0.0,0.0,6.8,0.4,0.0,0.0,0.0,67.7
IT - Itaim Paulista,1.0,1.7,0.0,0.0,0.0,14.8,11.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,2.3,0.7,0.0,0.0,7.2,0.0,0.0,0.0,0.0,56
MO - Móoca,0.0,0.2,0.0,0.0,0.0,70.1,22.6,0.2,0.0,0.0,0.6,2.8,0.2,0.0,0.0,0.0,0.2,0.6,0.0,0.0,16.9,3.2,0.3,0.0,0.0,13.700000000000001,0.5,0.0,0.0,0.0,132.1
MP - São Miguel Paulista,0.2,1.7,0.0,0.0,0.0,21.799999999999997,13.3,0.0,0.0,0.0,0.0,1.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,3.4,0.0,0.0,0.0,6.4,0.2,0.0,0.0,0.0,69.10000000000001
