PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,43.800000000000004,14.100000000000001,16.6,8.2,0.6,7.5,3.6,0.0,0.0,28.3,0.0,0.0,9.799999999999999,14.899999999999999,7.7,0.0,0.0,27.200000000000003,0.7,0.8,0.0,0.0,3.6,0.0,1.5,20.3,1.5,1.7,212.4
FO - Freguesia do Ó,49.800000000000004,18.1,18.2,6.3,2.9,2.2,6.5,0.0,0.0,33.300000000000004,0.0,0.0,6.8,18.3,7.5,0.0,0.0,38.1,1.0,0.5,0.0,0.0,5.3,0.0,8.3,12.6,0.4,2.3,238.40000000000006
JT - Jaçanã / Tremembé,72.7,8.5,21.9,14.6,0.7999999999999999,7.0,5.4,0.0,0.0,19.5,0.1,0.0,12.0,14.200000000000001,9.3,0.0,0.0,31.3,0.6,1.2,0.0,0.0,5.0,0.0,0.0,4.1,8.1,2.7,238.99999999999994
MG - Vl. Maria / Guilherme,49.0,13.4,21.0,11.0,0.0,22.0,0.1,0.0,0.0,34.9,0.0,0.0,15.6,41.9,1.8,0.0,0.0,27.5,0.0,0.2,0.0,0.0,0.3,0.0,0.0,1.0,9.6,0.2,249.5
