PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - MARÇO - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,18.5,0.0,1.2,0.8,14.4,1.5,0.3,4.6,0.7,9.2,4.1,17.299999999999997,6.300000000000001,23.5,47.900000000000006,11.7,1.8,0.30000000000000004,2.5,10.2,0.1,0.0,0.0,0.0,0.0,0.7,13.7,1.0,0.0,0.0,0.30000000000000004,192.6
FO - Freguesia do Ó,20.9,0.0,2.5,0.0,8.6,0.9,0.6,11.0,0.0,7.9,5.2,14.299999999999999,8.299999999999999,17.6,46.300000000000004,8.1,1.6,0.3,3.9,9.200000000000001,0.2,0.0,0.0,0.0,0.0,1.0,12.1,0.5,0.0,0.0,0.4,181.4
JT - Jaçanã / Tremembé,11.7,0.0,0.0,7.6,14.2,8.5,0.7,5.1,11.3,7.4,2.2,14.8,8.0,19.8,19.6,12.8,2.2,1.7000000000000002,3.7,8.9,0.3,0.0,0.0,0.0,0.0,1.3,3.4,0.9,0.0,0.2,0.7000000000000001,167
MG - Vl. Maria / Guilherme,15.6,0.0,0.3,16.200000000000003,6.9,3.7,1.6,0.0,9.6,8.9,1.8,25.1,32.1,17.6,55.400000000000006,25.1,4.6,11.9,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5,8.8,0.3,0.1,0.0,1.2,256.3
