PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,1.4,10.1,3.7,0.0,27.5,0.0,0.2,0.0,0.0,7.7,15.200000000000001,8.8,15.7,0.0,7.5,0.6,16.1,2.7,0.0,0.0,0.0,0.0,0.0,17.7,6.5,12.6,17.0,9.8,180.8
FO - Freguesia do Ó,1.9000000000000001,3.7,3.7,0.0,30.6,0.0,0.1,0.0,0.0,15.9,17.8,6.3,17.6,0.0,7.0,1.4,12.6,2.9,0.0,0.0,0.0,0.0,0.0,17.4,5.199999999999999,15.3,15.0,6.3,180.70000000000002
JT - Jaçanã / Tremembé,2.6,3.2,4.7,0.30000000000000004,35.2,0.3,0.1,0.0,1.3,20.3,13.5,3.7,12.2,0.0,5.1,0.9,12.7,8.6,0.1,0.5,0.1,0.0,0.0,14.1,17.5,11.899999999999999,18.8,4.2,191.9
MG - Vl. Maria / Guilherme,0.4,27.9,2.7,0.0,18.1,0.2,0.0,0.0,0.0,4.1,12.5,3.8,19.1,0.0,7.3999999999999995,0.4,36.7,1.7,0.0,0.1,0.0,0.0,0.0,25.3,16.4,11.5,20.9,7.8,217.00000000000003
PJ - Pirituba / Jaraguá,1.8,0.9,1.4,0.0,28.5,0.0,0.0,0.0,0.0,29.8,18.1,3.1,16.0,0.0,6.7,1.7,10.0,1.4,0.1,0.0,0.0,0.0,0.0,18.1,5.5,23.7,9.9,5.3999999999999995,182.1
PR - Perus,1.1,0.1,0.9,0.0,27.8,0.0,0.0,0.0,0.0,48.699999999999996,30.900000000000002,0.4,14.6,0.0,1.4,4.3,10.7,3.5,0.0,0.0,0.0,0.0,0.0,29.400000000000002,9.0,34.2,10.8,1.3,229.10000000000002
ST - Santana,1.2,15.9,2.3,0.0,28.5,0.1,0.1,0.0,0.0,7.8999999999999995,12.3,5.3,16.9,0.0,8.7,0.3,22.8,2.7,0.0,0.0,0.0,0.0,0.0,18.200000000000003,10.7,11.6,23.4,9.799999999999999,198.7
PRECIPITAÇÃO MÉDIA - ZN,1.4857142857142858,8.828571428571427,2.7714285714285714,0.042857142857142864,28.028571428571432,0.08571428571428572,0.07142857142857142,0.0,0.18571428571428572,19.2,17.185714285714287,4.485714285714286,16.014285714285712,0.0,6.257142857142857,1.3714285714285717,17.371428571428574,3.3571428571428568,0.028571428571428574,0.08571428571428572,0.014285714285714287,0.0,0.0,20.02857142857143,10.114285714285714,17.257142857142856,16.54285714285714,6.371428571428571,197.18571428571428
AF - Aricanduva / Vl. Formosa,0.6,17.9,0.0,0.0,13.5,0.4,0.3,0.0,0.0,0.3,11.6,7.5,17.099999999999998,0.0,2.7,6.0,40.8,0.6,0.0,0.0,0.0,0.0,0.0,18.0,17.9,10.9,10.200000000000001,1.5,177.79999999999998
EM - Ermelino Matarazzo,0.5,14.0,2.8,0.2,9.100000000000001,0.0,0.3,0.0,0.5,2.6,6.199999999999999,6.9,10.899999999999999,0.0,7.5,4.4,36.6,2.1,0.0,0.2,0.0,0.0,0.0,45.3,32.300000000000004,4.3999999999999995,15.4,6.6,208.8
GU - Guaianazes,13.7,7.2,2.2,0.0,5.4,1.0,1.3,0.0,1.3,0.1,9.0,5.8,24.1,0.0,1.0,12.2,27.8,0.30000000000000004,0.0,0.0,0.0,0.1,0.0,13.8,23.7,3.5,10.399999999999999,0.7999999999999999,164.7
IQ - Itaquera,3.5999999999999996,12.0,1.6,0.0,8.700000000000001,0.4,0.5,0.0,0.4,0.3,7.3,9.4,17.6,0.0,2.1,9.1,36.9,0.30000000000000004,0.0,0.0,0.0,0.1,0.0,28.700000000000003,22.8,3.3000000000000003,7.1,3.4,175.60000000000002
IT - Itaim Paulista,21.2,11.6,2.6,0.0,5.4,0.8,1.7000000000000002,0.0,0.6,0.0,8.0,3.3000000000000003,18.2,0.0,5.2,9.4,21.0,0.5,0.0,0.1,0.0,0.0,0.0,22.0,47.50000000000001,4.0,20.2,0.9,204.2
MO - Móoca,2.2,33.1,0.3,0.0,15.0,0.1,0.2,0.0,0.0,0.30000000000000004,13.299999999999999,8.3,18.2,0.0,3.4,3.6,39.3,0.3,0.0,0.0,0.0,0.0,0.0,33.2,10.9,10.0,15.100000000000001,10.2,217
MP - São Miguel Paulista,7.2,12.9,1.5,0.1,7.1000000000000005,0.2,1.0,0.0,0.3,0.6,6.699999999999999,2.4000000000000004,14.9,0.0,9.100000000000001,7.1,26.3,1.0,0.1,0.1,0.0,0.0,0.0,39.5,41.9,2.7,17.9,6.3,206.89999999999998
PE - Penha,0.6,13.4,4.0,0.1,8.8,0.1,0.1,0.0,0.2,1.5,5.7,8.700000000000001,12.0,0.0,4.3,2.8000000000000003,42.2,1.4,0.0,0.2,0.0,0.0,0.0,33.1,25.4,9.6,15.2,2.4,191.8
