Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - JANEIRO - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
VP - Vila Prudente,0.0,1.0,2.8,0.0,0.0,12.2,0.0,67.1,1.2,2.4,0.0,12.3,5.3,12.2,8.0,29.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,4.1,0.0,0.0,0.0,0.0,0.0,166.9
PRECIPITAÇÃO MÉDIA - ZL,0.20909090909090908,1.8727272727272726,2.5454545454545454,0.0,6.709090909090909,8.781818181818181,0.0,31.324545454545447,10.845454545454546,17.91363636363636,0.0,12.345454545454546,10.690909090909093,6.418181818181818,10.372727272727273,23.80909090909091,0.15454545454545454,1.0909090909090908,10.7,0.0,1.2545454545454544,0.0,0.2636363636363636,0.8727272727272727,4.763636363636364,5.786363636363637,0.22727272727272727,0.0,0.0,0.0,0.0,168.9518181818182
Consolação (CGE),0.0,0.0,2.1,0.0,0.0,0.5,0.0,23.5,5.75,4.3,0.0,19.799999999999997,10.7,73.5,4.5,27.5,0.0,10.2,5.2,0.0,0.0,0.0,0.25,1.5,5.5,6.8,0.0,0.0,0.0,0.0,0.0,201.59999999999997
SE - Sé,0.0,0.2,2.6,0.0,0.0,0.6,0.0,36.4,4.7,6.7,0.0,19.4,8.4,36.8,4.4,28.200000000000003,0.0,2.3,13.5,0.0,0.0,0.0,0.5,0.3,10.0,0.2,0.0,0.0,0.0,0.0,0.0,175.20000000000002
PRECIPITAÇÃO MÉDIA - ZC,0.0,0.1,2.35,0.0,0.0,0.55,0.0,29.95,5.225,5.5,0.0,19.599999999999998,9.55,55.15,4.45,27.85,0.0,6.25,9.35,0.0,0.0,0.0,0.375,0.9,7.75,3.5,0.0,0.0,0.0,0.0,0.0,188.39999999999998
BT - Butantã,2.2,1.0,1.5,0.0,0.0,0.0,0.0,4.6,8.3,3.5,0.0,21.0,12.3,46.3,3.7,21.2,0.0,0.0,4.1,3.4,3.3,0.0,3.3,1.5,1.5,13.9,0.6,0.0,0.0,0.0,0.0,157.20000000000005
LA - Lapa,0.0,0.0,2.2,0.0,0.0,3.6,0.0,18.5,11.7,4.5,0.0,20.0,9.2,30.0,2.2,37.8,0.0,0.0,13.8,0.0,0.0,0.0,0.0,5.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,167
PI - Pinheiros,1.4,0.0,1.3,0.0,0.0,0.3,0.0,12.4,6.7,14.0,0.0,25.1,10.6,39.3,2.5,28.3,0.0,0.0,5.0,0.0,0.0,0.0,3.0,3.5,0.3,9.9,0.0,0.0,0.0,0.0,0.0,163.60000000000002
PRECIPITAÇÃO MÉDIA - ZO,1.2,0.3333333333333333,1.6666666666666667,0.0,0.0,1.3,0.0,11.833333333333334,8.9,7.333333333333333,0.0,22.03333333333333,10.700000000000001,38.53333333333333,2.8000000000000003,29.099999999999998,0.0,0.0,7.633333333333333,1.1333333333333333,1.0999999999999999,0.0,2.1,3.3333333333333335,3.266666666666667,8.1,0.19999999999999998,0.0,0.0,0.0,0.0,162.60000000000002
MB - M Boi Mirim,0.0,0.0,2.2,0.0,0.0,1.6,0.0,4.0,35.0,25.0,0.0,9.2,15.1,28.1,0.5,15.3,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,139.20000000000002
CL - Campo Limpo,2.8,0.0,5.2,0.0,0.0,6.8,0.0,0.0,33.6,16.2,0.0,34.199999999999996,8.799999999999999,19.0,20.0,28.0,0.0,0.0,0.0,0.0,1.6,0.0,26.2,0.0,8.4,16.099999999999998,0.0,0.4,0.0,0.0,0.0,227.3
CS - Capela do Socorro,0.0,7.3,4.7,0.0,1.3,7.8,0.0,18.099999999999998,9.5,7.0,0.0,6.9,10.1,27.700000000000003,5.6,18.3,0.0,14.9,0.0,2.5,3.5,0.0,4.2,0.9,1.0,9.8,1.0,1.2,0.0,0.0,0.0,163.29999999999998
IP - Ipiranga,0.0,0.0,2.7,0.0,0.0,1.9,0.0,72.2,2.9,7.8,0.0,15.5,5.1,22.4,8.9,25.7,0.0,5.4,0.0,0.0,0.0,0.0,0.8,0.0,2.8,18.900000000000002,0.0,0.0,0.0,0.0,0.0,193.00000000000003
JA - Jabaquara,0.0,4.7,2.0,0.0,0.0,7.9,0.0,10.0,3.0,8.7,0.0,15.4,7.6,39.3,4.9,19.8,0.3,5.5,0.0,0.8,1.8,0.0,2.8,0.0,1.6,15.0,0.0,0.0,0.0,0.0,0.0,151.10000000000002
SA - Santo Amaro,0.0,1.7,4.1,0.0,0.0,1.4,0.0,11.2,6.2,8.0,0.0,15.4,11.6,62.7,41.5,18.4,2.0,0.0,0.0,0.0,8.5,0.0,0.6,0.0,1.5,13.7,0.0,0.0,0.0,0.0,0.0,208.5
VM - Vila Mariana,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.700000000000003,9.4,11.1,0.0,15.3,4.5,52.8,2.8,15.5,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,146.20000000000002
PA - Parelheiros ,0.8,8.0,2.7,0.0,0.0,31.0,0.0,14.5,3.4,16.0,0.0,3.0,3.2,40.8,7.2,18.0,3.0,22.0,0.0,0.0,2.0,1.4,6.7,18.5,6.5,0.0,2.0,0.0,1.9,0.0,0.0,212.6
AD - Cidade Ademar,0.0,3.4,1.4,0.0,0.0,0.2,0.0,14.0,8.2,6.2,0.0,13.0,10.200000000000001,21.8,6.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,6.0,11.5,0.0,0.0,0.0,0.0,0.0,122.9
PRECIPITAÇÃO MÉDIA - ZS,0.39999999999999997,2.7888888888888888,2.9999999999999996,0.0,0.14444444444444446,6.511111111111111,0.0,17.966666666666665,12.355555555555558,11.777777777777779,0.0,14.21111111111111,8.466666666666667,34.955555555555556,10.822222222222223,19.755555555555556,0.5888888888888889,5.311111111111111,0.0,0.36666666666666664,2.022222222222222,0.15555555555555556,4.977777777777778,2.1555555555555554,3.1999999999999997,11.133333333333333,0.3333333333333333,0.17777777777777778,0.2111111111111111,0.0,0.0,173.7888888888889
PRECIPITAÇÃO MÉDIA TOTAL,0.28787878787878785,1.5999999999999999,2.4818181818181815,0.0,3.242424242424242,4.898484848484848,0.0,21.421212121212125,10.556060606060603,11.689090909090908,0.0,14.969696969696969,10.013939393939395,22.39272727272727,8.188484848484848,23.191818181818178,0.21212121212121213,2.3575757575757574,9.178787878787878,0.203030303030303,1.3818181818181816,0.04242424242424242,3.977272727272727,1.7242424242424244,5.156363636363636,7.366969696969697,0.29393939393939394,0.06060606060606061,0.05757575757575757,0.0,0.0,166.9463636363636
