PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,10.0,0.5,2.5,12.5,0.0,2.6,6.0,36.0,8.6,28.0,0.0,0.0,3.0,33.5,35.5,16.5,0.0,9.4,8.0,0.0,0.0,29.0,0.0,10.3,0.0,23.5,0.0,0.0,275.4
FO - Freguesia do Ó,18.5,12.3,4.1,47.7,0.0,2.5,6.9,39.5,12.0,17.3,0.0,0.0,0.4,25.0,44.6,3.5,0.0,4.5,0.2,0.0,0.0,4.0,8.6,27.6,0.0,27.0,0.0,0.0,306.2
JT - Jaçanã / Tremembé,3.9,1.0,6.1,32.6,0.9,0.2,11.8,10.0,3.1,27.7,0.0,0.0,1.4,9.9,25.8,31.8,0.0,46.0,2.3,0.0,0.0,44.5,0.0,0.0,0.0,23.1,0.0,0.0,282.1
MG - Vl. Maria / Guilherme,7.359999999999999,10.6,4.03,35.4,0.7,0.53,14.899999999999999,20.83,3.9,51.1,0.3,0.0,0.8,8.35,30.2,29.7,0.0,30.6,4.0,0.0,0.0,28.8,0.6,11.6,0.0,30.83,0.0,0.0,325.13000000000005
PJ - Pirituba / Jaraguá,20.9,1.3,1.2,30.4,0.0,2.7,6.8,13.8,2.5,5.0,0.0,0.0,0.0,50.9,7.800000000000001,29.4,0.0,1.5,15.3,2.8,0.0,29.3,0.9,4.3,0.0,16.4,0.0,0.0,243.20000000000007
PR - Perus,11.399999999999999,9.2,0.6,29.1,0.0,1.7000000000000002,11.1,15.5,1.5,6.3999999999999995,0.8,0.1,4.3,17.9,10.6,56.8,0.0,1.2,6.2,0.0,0.0,0.2,0.0,0.6,0.0,55.4,0.6,0.0,241.19999999999996
