PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT - Cidade Tiradentes,0.0,1.4,0.0,0.46,45.3,23.5,0.0,0.0,0.2,3.1,0.0,0.0,19.5,4.0,23.700000000000003,23.1,20.4,6.5,0.0,0.0,0.0,0.0,0.0,3.7,13.299999999999999,12.8,0.0,11.100000000000001,212.06
VP - Vila Prudente,0.2,2.8000000000000003,0.0,4.6,19.599999999999998,26.4,3.1,0.0,2.8,0.0,2.0,0.0,0.0,5.0,23.4,22.0,14.7,10.8,0.0,0.0,0.0,0.0,0.0,50.0,110.0,0.0,0.0,12.2,309.59999999999997
PRECIPITAÇÃO MÉDIA - ZL,0.10909090909090909,8.281818181818181,1.0909090909090908,1.2827272727272727,43.218181818181826,25.3,2.0545454545454547,1.4909090909090907,5.627272727272727,1.7636363636363634,7.136363636363637,0.0,20.263636363636365,9.872727272727273,25.4,30.6909090909091,20.88181818181818,11.236363636363636,0.06363636363636363,0.11818181818181821,0.0,0.0,0.0,9.736363636363636,31.954545454545453,6.636363636363637,0.9545454545454546,5.5636363636363635,270.72818181818184
Consolação (CGE),1.2,10.5,0.0,5.5,21.9,41.0,7.8,0.0,6.0,0.5,0.7,0.0,0.0,0.0,27.8,26.5,7.0,13.8,0.0,0.0,0.0,0.0,13.8,1.2,59.0,0.0,0.0,9.0,253.2
SE - Sé,1.0,5.6,0.8,6.2,20.5,41.8,14.8,0.0,3.4,0.0,1.4,0.0,0.0,0.4,25.6,41.4,12.3,10.4,0.0,0.0,0.0,0.0,4.6,1.6,70.2,0.0,0.0,0.0,262.00000000000006
PRECIPITAÇÃO MÉDIA - ZC,1.1,8.05,0.4,5.85,21.2,41.4,11.3,0.0,4.7,0.25,1.0499999999999998,0.0,0.0,0.2,26.700000000000003,33.95,9.65,12.100000000000001,0.0,0.0,0.0,0.0,9.2,1.4,64.6,0.0,0.0,4.5,257.6
BT - Butantã,5.2,51.7,0.0,7.199999999999999,39.5,19.1,0.6,0.0,7.699999999999999,7.6,0.7,0.0,0.0,4.0,10.1,39.1,16.9,13.799999999999999,0.0,0.3,0.0,0.0,4.0,2.5,12.0,0.2,3.0,26.8,272
LA - Lapa,4.2,9.099999999999998,2.0,10.299999999999999,17.4,25.0,0.0,0.0,17.4,0.8,0.0,0.0,0.0,2.0,38.0,31.8,14.5,17.8,0.0,0.2,0.0,0.0,1.2,5.4,47.6,0.0,0.0,9.7,254.39999999999998
PI - Pinheiros,2.8,31.2,0.0,4.0,25.5,25.599999999999998,3.8,0.0,4.6,0.0,0.8,0.0,0.0,3.0,40.0,46.1,19.7,9.9,0.0,0.2,0.0,0.0,8.0,1.6,40.0,0.0,0.0,17.7,284.49999999999994
PRECIPITAÇÃO MÉDIA - ZO,4.066666666666666,30.666666666666668,0.6666666666666666,7.166666666666667,27.46666666666667,23.233333333333334,1.4666666666666666,0.0,9.899999999999999,2.8000000000000003,0.5,0.0,0.0,3.0,29.366666666666664,39.0,17.03333333333333,13.833333333333334,0.0,0.2333333333333333,0.0,0.0,4.3999999999999995,3.1666666666666665,33.199999999999996,0.06666666666666667,1.0,18.066666666666666,270.29999999999995
MB - M Boi Mirim,4.0,2.9,0.0,4.2,46.2,17.0,5.6,0.0,1.6,2.9000000000000004,2.0,0.0,0.0,5.2,6.2,22.5,8.6,16.2,0.0,0.4,0.0,0.0,0.0,21.8,21.1,0.0,0.0,24.5,212.9
CL - Campo Limpo,9.6,13.0,0.2,3.8,67.0,15.8,5.6000000000000005,0.0,2.2,33.2,1.0,0.0,0.0,4.5,8.8,76.2,31.400000000000002,12.0,0.0,0.4,0.0,0.0,27.0,48.2,34.4,0.0,0.6,26.6,421.49999999999994
CS - Capela do Socorro,1.3,3.3,0.0,2.6,43.8,9.1,6.3,0.0,1.9,22.2,2.5,0.0,0.0,0.5,3.2,11.6,13.899999999999999,13.700000000000001,0.0,0.5,0.0,0.0,0.0,31.0,16.200000000000003,6.6,0.0,45.0,235.20000000000002
IP - Ipiranga,0.0,1.9,0.0,7.6,21.8,24.5,9.7,0.0,7.1,9.2,2.2,0.0,0.0,0.2,30.0,19.2,9.4,13.600000000000001,0.0,1.2,0.0,0.0,0.0,25.8,69.8,0.0,0.0,8.6,261.8
JA - Jabaquara,2.0,15.600000000000001,0.0,5.8,50.0,20.5,3.5,0.0,2.0,2.1,5.5,0.0,0.0,0.8,19.0,28.8,9.7,10.1,1.2,0.6,0.0,0.0,0.0,22.5,27.599999999999998,0.0,0.0,27.900000000000002,255.19999999999996
SA - Santo Amaro,5.4,7.5,0.0,4.9,68.6,16.6,21.7,0.0,1.8,40.4,2.7,0.0,0.0,5.3,6.1,40.8,9.4,15.4,0.0,0.2,0.0,0.0,1.9,28.5,42.2,0.0,0.0,45.5,364.90000000000003
VM - Vila Mariana,0.4,12.799999999999999,0.0,7.2,24.799999999999997,18.2,13.8,0.0,1.6,15.8,4.0,0.0,0.0,0.2,17.6,39.6,5.2,9.5,0.0,1.6,0.0,0.0,5.3,1.7,59.2,0.0,0.0,13.8,252.29999999999995
PA - Parelheiros ,2.0,4.5,0.0,1.2000000000000002,26.599999999999998,9.2,3.4,0.8,3.2,29.8,7.2,0.0,0.0,9.4,5.2,17.1,22.1,25.8,0.0,0.2,0.0,0.0,0.0,53.1,30.2,10.4,0.0,35.1,296.5
AD - Cidade Ademar,2.8,1.5,0.0,4.5,38.3,29.5,8.0,0.0,1.0,12.0,2.2,0.0,0.0,4.0,7.0,12.8,6.7,10.5,0.0,0.0,0.0,0.0,0.0,20.8,13.200000000000001,0.0,0.0,23.8,198.6
PRECIPITAÇÃO MÉDIA - ZS,3.0555555555555554,7.0,0.022222222222222223,4.644444444444445,43.01111111111111,17.822222222222223,8.622222222222224,0.08888888888888889,2.488888888888889,18.62222222222222,3.255555555555555,0.0,0.0,3.3444444444444446,11.455555555555556,29.84444444444445,12.933333333333335,14.088888888888889,0.13333333333333333,0.5666666666666668,0.0,0.0,3.7999999999999994,28.155555555555555,34.87777777777777,1.8888888888888888,0.06666666666666667,27.866666666666667,277.65555555555557
PRECIPITAÇÃO MÉDIA TOTAL,1.709090909090909,8.906060606060606,2.4969696969696966,3.9445454545454552,34.85454545454546,20.50909090909091,4.754545454545455,0.5212121212121212,6.2242424242424255,6.163636363636364,3.678787878787879,0.0,6.754545454545455,6.233333333333333,20.942424242424238,30.21212121212121,15.869696969696967,11.79090909090909,0.0818181818181818,0.23333333333333336,0.0,0.0,2.084848484848485,12.684848484848489,36.36363636363637,3.436363636363636,0.5848484848484848,12.360606060606058,253.3960606060606
