PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - ABRIL - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,TOTAL
CT - Cidade Tiradentes,4.8999999999999995,0.4,0.0,0.7,0.2,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.9,2.0,0.6,2.1,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,15.6,53.00000000000001
VP - Vila Prudente,6.500000000000001,0.1,0.0,0.1,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,1.4,0.9,0.1,2.2,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1.2,23.900000000000002
SB - Sapopemba,4.800000000000001,0.2,0.0,0.0,0.1,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.6,1.1,0.0,2.4000000000000004,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,20.1
PRECIPITAÇÃO MÉDIA - ZL,4.841666666666668,0.2166666666666667,0.03333333333333333,0.9249999999999999,0.041666666666666664,0.0,0.0,15.800000000000002,0.0,0.0,0.0,0.0,0.7000000000000001,1.0416666666666667,0.125,1.7833333333333339,0.19999999999999998,0.0,0.24999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,10.566666666666668,39.4
Consolação (CGE),6.7,0.0,0.0,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.8,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0999999999999996,19.200000000000003
SE - Sé,6.7,0.1,0.0,0.9,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.9,0.5,0.0,1.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,3.3,22.700000000000003
PRECIPITAÇÃO MÉDIA - ZC,6.7,0.05,0.0,0.6,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,3.8499999999999996,0.4,0.0,1.3,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9500000000000002,3.1999999999999997,20.950000000000003
BT - Butantã,8.9,0.1,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,3.9,0.3,0.5,0.8999999999999999,1.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.9,20.5
LA - Lapa,7.700000000000001,0.0,0.0,4.8,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,5.6,0.2,0.6,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.4,29.6
PI - Pinheiros,8.1,0.1,0.0,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,4.9,0.3,0.6,1.1,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.6999999999999997,21.5
