PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - AGOSTO - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,10.8,4.6,0.0,17.6,31.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,75.60000000000002
FO - Freguesia do Ó,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,7.8,4.8,0.0,17.08,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,77.88
JT - Jaçanã / Tremembé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,0.0,6.2,2.7,0.0,10.9,28.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,59.00000000000001
MG - Vl. Maria / Guilherme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.6,3.4,0.0,10.8,23.799999999999997,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.800000000000001,54.8
PJ - Pirituba / Jaraguá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.6,3.0,1.0,9.1,34.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,69.1
PR - Perus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.8,4.0,0.0,15.0,33.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,73.4
ST - Santana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.9,0.0,6.4,3.8,0.0,11.1,24.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,60
COMDEC - Carandirú,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.2,3.6,0.0,14.8,33.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,76.8
PRECIPITAÇÃO MÉDIA - ZN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,4.199999999999999,0.0,6.924999999999999,3.7375000000000003,0.125,13.297499999999998,30.299999999999997,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.987499999999999,68.32249999999999
AF - Aricanduva / Vl. Formosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,4.4,3.8,0.0,13.200000000000001,37.699999999999996,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,75.3
EM - Ermelino Matarazzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,4.1,3.3,0.0,13.4,28.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,60.6
GU - Guaianazes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3.0,0.0,3.0,4.2,0.0,8.5,11.899999999999999,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1000000000000005,38.3
IQ - Itaquera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.2,2.4,0.0,15.399999999999999,18.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,46.2
IT - Itaim Paulista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.4,0.0,10.399999999999999,28.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,52.5
MO - Móoca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,6.4,4.8,0.0,15.3,25.099999999999998,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,67.4
MP - São Miguel Paulista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,5.3,5.3,0.0,9.8,27.999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,59
