PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - JANEIRO - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,1.2,15.4,0.0,18.0,50.0,6.1,2.5,11.0,3.8,0.0,9.0,0.0,0.0,3.6,5.0,2.5,2.5,30.0,6.2,0.0,55.5,1.0,8.0,2.5,27.7,30.0,0.0,7.5,10.5,0.0,0.0,309.49999999999994
FO - Freguesia do Ó,10.399999999999999,30.700000000000003,12.2,23.5,50.2,22.2,0.3,9.5,11.5,0.0,13.8,0.0,0.0,4.0,1.8,16.4,33.7,23.2,15.0,1.8,85.0,0.0,11.7,12.100000000000001,12.0,67.8,4.7,28.7,5.4,5.0,0.0,512.6
JT - Jaçanã / Tremembé,14.600000000000001,9.3,0.0,0.8,55.0,27.7,3.0,8.3,0.5,5.6,15.8,7.4,0.0,2.7,0.7,16.9,17.8,2.3,31.400000000000002,1.2,46.800000000000004,1.5,11.7,18.5,20.2,10.5,0.8,19.5,4.5,0.0,10.600000000000001,365.6
MG - Vl. Maria / Guilherme,12.7,22.8,0.0,53.8,81.9,1.6,1.1,19.6,8.7,1.0,79.6,0.0,0.0,6.1,3.2,47.8,57.900000000000006,14.7,17.7,0.0,45.2,0.0,12.0,5.8,25.9,49.5,1.0,21.0,8.3,0.0,15.6,614.4999999999999
PJ - Pirituba / Jaraguá,17.6,20.9,42.6,0.0,23.0,3.7,0.0,10.65,0.0,0.0,0.5,0.0,0.0,4.0,1.2,11.5,9.6,0.0,17.3,0.0,58.0,0.0,17.700000000000003,2.4,16.8,76.2,1.0,4.5,3.4000000000000004,0.0,1.3,343.84999999999997
