PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - ABRIL - 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,TOTAL
CV - Casa Verde,1.9,3.9,8.899999999999999,15.3,0.5,0.0,0.2,0.0,3.2,16.700000000000003,0.0,0.0,4.3999999999999995,29.6,0.0,1.7,0.0,26.099999999999998,6.8,0.5,0.0,0.0,0.0,8.8,5.8,0.0,0.0,2.0,0.0,0.0,136.3
FO - Freguesia do Ó,1.8,6.3,10.2,15.4,0.5,0.0,0.4,0.0,2.2,17.8,0.0,0.0,6.5,24.2,0.1,1.7000000000000002,0.0,25.4,7.5,0.4,0.0,0.0,0.0,8.5,5.8,0.0,0.0,2.8000000000000003,0.0,0.0,137.50000000000003
JT - Jaçanã / Tremembé,0.4,3.8,24.299999999999997,22.5,1.2,0.1,0.5,0.0,1.1,22.7,0.0,0.0,2.8,27.400000000000002,0.0,0.8999999999999999,0.0,34.1,11.9,2.0,0.0,0.0,0.0,11.6,7.9,0.0,0.0,2.4000000000000004,0.1,0.0,177.70000000000002
MG - Vl. Maria / Guilherme,0.0,0.9,11.0,18.2,0.4,0.1,0.2,0.0,7.2,9.2,0.0,0.0,2.6999999999999997,49.300000000000004,0.0,0.6,0.0,22.5,10.899999999999999,1.1,0.0,0.0,0.0,11.6,10.5,0.0,0.0,0.4,0.0,0.0,156.8
